name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
Lauren Murphy,Lucky,Orthodox,11,58.38,73.56,43.05,69.1,69.26,47.72,53.12,24.83,16,7,0,16,7,0,15,0,12.0,2.0,"[""women's flyweight"", ""women's bantamweight""]",women's flyweight,1983/07/27,23.45,61.01,28.56,33.34,52.64,59.72,14.67,66.32,24.01,38.1,67.0,42.86,7.13,15.33,100.0,53.33
Luana Santos,,Orthodox,12,58.3,75.31,44.73,81.09,88.65,12.34,81.25,42.41,9,2,0,9,2,0,5,0,Unranked,Unranked,"[""women's bantamweight"", ""women's flyweight""]",women's flyweight,2000/04/16,21.46,16.31,78.56,0.0,68.41,78.94,25.71,12.24,50.0,20.78,82.99,57.14,46.42,30.67,100.0,82.22
Viviane Araujo,Vivi,Orthodox,13,58.04,81.07,55.21,68.98,72.37,30.93,35.71,31.04,13,7,0,13,7,0,13,0,Unranked,5.0,"[""women's flyweight"", ""women's bantamweight""]",women's flyweight,1986/11/21,22.67,87.89,60.72,33.34,49.99,63.59,23.15,54.08,43.0,41.56,75.01,71.43,21.42,0.0,100.0,58.98
Montana De La Rosa,,Orthodox,14,57.92,70.05,54.69,81.26,63.03,27.84,75.0,41.37,13,9,1,13,9,1,12,0,Unranked,5.0,"[""women's flyweight""]",women's flyweight,1995/02/14,15.16,45.04,24.99,33.34,23.67,79.06,24.91,55.1,33.01,48.64,67.99,71.43,28.57,45.99,80.01,49.08
Karine Silva,Killer,Orthodox,15,57.01,69.53,47.55,88.06,73.26,16.89,81.25,28.51,18,5,0,18,5,0,5,0,Unranked,10.0,"[""women's flyweight""]",women's flyweight,1993/12/02,16.28,16.71,28.56,33.34,28.94,81.74,37.55,16.32,50.0,13.96,0.0,42.86,67.86,45.99,100.0,82.22
Tracy Cortez,,Orthodox,16,56.82,74.4,57.47,64.08,86.85,23.06,25.0,56.73,12,2,0,12,2,0,7,0,Unranked,8.0,"[""women's flyweight"", ""women's bantamweight""]",women's flyweight,1993/12/10,22.26,35.59,67.84,0.0,55.26,84.97,29.48,33.66,46.99,42.6,62.0,28.57,10.7,0.0,100.0,87.3
Taila Santos,,Orthodox,17,56.79,89.69,67.2,0.0,78.04,39.77,43.75,55.34,19,3,0,19,3,0,7,0,8.0,1.0,"[""women's flyweight""]",women's flyweight,1993/06/22,19.07,55.53,64.27,100.0,57.89,87.1,26.91,20.4,75.99,41.56,86.0,0.0,,15.33,100.0,61.9
Andrea Lee,KGB,Orthodox,18,56.12,81.56,52.45,73.54,66.75,20.33,55.0,22.11,13,11,0,13,11,0,14,0,Unranked,6.0,"[""women's flyweight""]",women's flyweight,1989/02/11,28.89,95.8,53.57,33.34,65.78,73.47,22.21,42.85,52.0,30.32,53.0,71.43,21.42,15.33,100.0,42.86
Casey O'Neill,King,Orthodox,19,55.23,85.93,36.57,69.46,74.39,20.01,70.0,31.23,10,2,0,10,2,0,7,0,Unranked,10.0,"[""women's flyweight""]",women's flyweight,1997/10/07,54.98,67.41,78.56,0.0,55.26,54.77,19.52,23.47,34.0,21.42,70.01,42.86,24.99,15.33,80.01,63.49
Wang Cong,The Joker,Southpaw,20,54.36,96.54,40.78,61.73,80.28,9.25,50.0,0.89,8,1,0,8,1,0,4,0,Unranked,13.0,"[""women's flyweight""]",women's flyweight,1992/05/15,51.71,17.94,96.43,66.69,71.06,86.68,14.13,3.04,75.0,0.36,100.0,0.0,24.99,0.0,80.01,58.33
Katlyn Cerminara,Blonde Fighter,Orthodox,21,53.99,70.95,21.36,67.25,74.23,57.55,25.0,10.95,18,6,0,18,6,0,17,0,8.0,1.0,"[""women's flyweight"", ""women's bantamweight""]",women's flyweight,1988/12/28,28.57,41.33,14.27,33.34,68.41,67.34,4.17,32.64,15.01,18.94,50.01,71.43,10.7,0.0,100.0,59.48
Molly McCann,Meatball,Orthodox,22,52.59,86.93,40.96,62.79,60.9,21.86,57.14,12.81,14,8,0,14,8,0,14,0,Unranked,14.0,"[""women's strawweight"", ""women's flyweight""]",women's flyweight,1990/05/04,34.16,20.91,67.84,66.69,68.41,65.52,23.96,46.93,36.0,17.56,38.0,71.43,17.85,15.33,19.99,33.33
Eduarda Moura,Ronda,Orthodox,23,52.25,64.04,52.54,61.96,86.52,9.25,50.0,50.34,12,1,0,12,1,0,4,0,Unranked,15.0,"[""women's strawweight"", ""women's flyweight""]",women's flyweight,1994/02/28,16.28,25.11,24.99,0.0,65.78,88.94,50.2,36.72,37.01,19.72,80.01,0.0,10.7,0.0,100.0,77.78
JJ Aldrich,,Southpaw,24,51.77,76.23,38.61,57.68,74.24,29.16,32.5,24.35,14,7,0,14,7,0,16,0,Unranked,14.0,"[""women's flyweight"", ""women's strawweight""]",women's flyweight,1992/09/29,23.63,91.2,60.72,0.0,65.78,69.07,10.11,41.84,26.01,38.18,67.0,0.0,0.0,0.0,80.01,56.94
Jessica Eye,Evil,Orthodox,25,51.59,69.5,38.37,64.17,62.25,37.7,40.0,18.57,15,11,0,15,11,0,16,0,12.0,1.0,"[""women's flyweight"", ""women's bantamweight""]",women's flyweight,1986/07/27,22.83,100.0,24.99,0.0,49.99,70.46,7.8,22.45,39.99,31.54,57.0,14.27,17.85,0.0,100.0,39.59
Roxanne Modafferi,The Happy Warrior,Orthodox,26,50.95,65.86,48.07,60.81,56.99,33.16,43.75,39.79,25,21,0,25,21,0,12,0,Unranked,3.0,"[""women's flyweight"", ""women's bantamweight""]",women's flyweight,1982/09/24,18.76,42.22,0.0,33.34,39.47,54.25,18.17,59.18,23.0,49.38,30.02,0.0,3.57,0.0,100.0,40.74
Jennifer Maia,,Orthodox,27,50.91,69.84,27.66,65.35,69.45,39.23,37.5,19.28,21,10,1,21,10,1,12,0,Unranked,2.0,"[""women's flyweight""]",women's flyweight,1988/10/06,26.73,75.29,28.56,0.0,49.99,66.92,5.65,18.35,27.0,23.92,58.0,0.0,3.57,15.33,100.0,55.56
