name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
Elias Garcia,,Southpaw,106,26.96,51.73,10.42,65.08,38.28,0.04,0.0,2.49,6,2,0,6,2,0,2,0,Unranked,Unranked,['flyweight'],flyweight,1992/09/13,9.8,4.28,13.32,9.25,52.63,54.8,7.02,5.18,14.0,0.47,32.99,12.5,39.99,0.0,80.0,0.0
Paddy Holohan,The Hooligan,Orthodox,107,25.58,0.0,50.35,71.16,0.0,9.07,46.51,64.89,12,2,1,12,2,1,5,0,Unranked,Unranked,['flyweight'],flyweight,1988/05/03,16.49,0.0,,9.25,,80.43,29.73,17.03,46.99,29.72,71.0,31.25,37.14,16.67,80.0,48.89
Willie Gates,,Orthodox,108,25.43,60.77,2.98,0.0,36.89,3.1,93.02,17.78,12,7,0,12,7,0,4,0,Unranked,Unranked,['flyweight'],flyweight,1987/01/21,12.41,13.65,37.77,18.48,21.05,63.61,0.0,0.0,0.0,6.51,66.99,0.0,,0.0,60.0,0.0
Igor Severino,,Orthodox,109,24.86,0.0,77.4,60.28,0.0,0.0,0.0,32.0,8,1,0,8,1,0,1,0,Unranked,Unranked,['flyweight'],flyweight,2003/04/21,79.03,0.0,,0.0,,63.05,100.0,6.66,70.99,2.94,49.99,0.0,0.0,0.0,100.0,100.0
Kevin Borjas,El Gallo Negro,Orthodox,110,24.06,71.34,0.66,0.0,48.72,3.06,23.26,1.36,10,3,0,10,3,0,3,0,Unranked,Unranked,['flyweight'],flyweight,1997/12/06,53.35,31.26,51.11,9.25,55.25,44.05,0.0,3.69,0.0,0.38,65.0,0.0,,0.0,100.0,14.81
Zarrukh Adashev,The Lion,Southpaw,111,23.73,62.92,0.86,0.0,55.02,3.1,23.26,2.09,4,4,0,4,4,0,4,0,Unranked,Unranked,"['flyweight', 'bantamweight']",flyweight,1992/07/29,35.35,22.6,42.22,0.0,89.47,77.8,0.0,3.69,0.0,0.78,100.0,0.0,,0.0,100.0,0.0
Juancamilo Ronderos,100,Southpaw,112,23.5,52.65,28.13,0.0,43.5,0.04,0.0,7.29,4,2,0,4,2,0,2,0,Unranked,Unranked,['flyweight'],flyweight,1995/02/17,17.11,3.08,19.99,0.0,86.85,87.65,28.06,2.21,33.0,1.34,0.0,0.0,,0.0,60.0,0.0
Luis Gurule,Grim,Orthodox,113,23.4,70.05,11.85,0.0,45.48,0.0,0.0,24.36,10,1,0,10,1,0,1,0,Unranked,Unranked,['flyweight'],flyweight,1993/11/16,56.32,2.68,59.98,0.0,73.68,69.8,7.02,2.96,16.0,2.23,49.99,0.0,,0.0,100.0,0.0
Stewart Nicoll,Kakamora,Orthodox,114,23.38,0.0,72.31,57.5,0.0,0.0,0.0,22.04,8,1,0,8,1,0,1,0,Unranked,Unranked,['flyweight'],flyweight,1994/11/04,27.55,0.0,,0.0,,99.66,58.4,0.73,100.0,2.03,0.0,0.0,0.0,0.0,80.0,0.0
Mateus Mendonca,Bocao,Orthodox,115,22.88,57.13,31.33,0.0,31.56,0.09,0.0,43.67,10,3,0,10,3,0,3,0,Unranked,Unranked,"['flyweight', 'bantamweight']",flyweight,1999/01/17,10.66,10.71,42.22,0.0,0.0,65.21,26.2,16.28,27.0,12.01,55.0,0.0,,0.0,100.0,0.0
Vinicius Salvador,,Southpaw,116,21.82,69.5,7.68,0.0,42.23,0.09,0.0,1.3,14,7,0,14,7,0,3,0,Unranked,Unranked,"['bantamweight', 'flyweight']",flyweight,1996/07/24,58.07,28.48,48.89,0.0,47.37,38.21,3.72,5.93,11.0,0.36,85.99,0.0,,0.0,100.0,0.0
Ronaldo Rodriguez,Lazy Boy,Orthodox,117,20.55,0.0,28.1,69.07,0.0,6.01,58.14,46.64,17,3,0,17,3,0,3,0,Unranked,Unranked,['flyweight'],flyweight,1999/05/07,23.69,0.0,,0.0,,69.11,11.25,5.18,35.99,12.81,64.0,6.25,22.85,16.67,100.0,70.37
Kai Asakura,,Orthodox,118,20.13,67.92,0.19,0.0,35.51,6.67,0.0,2.56,21,5,0,21,5,0,1,0,Unranked,14.0,['flyweight'],flyweight,1993/10/31,19.84,2.29,82.22,0.0,21.05,60.87,0.0,0.0,0.0,0.4,57.01,0.0,,0.0,80.0,0.0
Richie Vaculik,Vas,Orthodox,119,19.79,0.0,40.04,66.71,0.0,3.1,23.26,23.82,10,4,0,10,4,0,4,0,Unranked,Unranked,['flyweight'],flyweight,1983/06/19,35.86,0.0,,0.0,,65.79,30.96,14.8,45.01,8.73,30.99,18.75,28.57,0.0,100.0,0.0
Ashkan Mokhtarian,The Assassin,Southpaw,120,19.71,59.38,11.55,0.0,35.97,0.04,0.0,13.42,13,3,0,13,3,0,2,0,Unranked,Unranked,['flyweight'],flyweight,1985/09/15,14.26,9.84,48.89,0.0,34.2,70.72,5.57,4.45,16.0,2.47,32.99,0.0,,0.0,100.0,0.0
Carlos Mota,Tizil,Orthodox,121,19.09,54.93,0.08,0.0,51.0,0.0,0.0,1.96,8,2,0,8,2,0,1,0,Unranked,Unranked,['flyweight'],flyweight,1995/04/15,0.0,2.29,44.44,0.0,63.16,99.66,0.0,0.0,0.0,0.18,49.99,0.0,,0.0,100.0,11.11
Ulysses Gomez,Useless,Orthodox,122,18.69,52.24,1.05,0.0,44.8,4.49,0.0,2.76,9,5,0,9,5,0,2,0,Unranked,10.0,['flyweight'],flyweight,1983/05/25,23.82,16.02,8.89,0.0,100.0,71.74,0.0,5.93,0.0,0.51,0.0,0.0,,0.0,100.0,0.0
Lone'er Kavanagh,,Orthodox,123,18.5,0.0,35.12,60.28,0.0,5.97,23.26,34.93,9,0,0,9,0,0,2,0,Unranked,Unranked,['flyweight'],flyweight,1999/06/09,36.35,0.0,,0.0,,73.46,19.09,5.93,49.99,6.4,100.0,0.0,0.0,0.0,100.0,100.0
Jerome Rivera,Renegade,Southpaw,124,18.23,57.98,1.11,0.0,41.77,0.13,0.0,2.98,10,6,0,10,6,0,4,0,Unranked,Unranked,"['flyweight', 'featherweight', 'bantamweight']",flyweight,1995/04/22,29.9,20.39,26.66,0.0,55.25,82.83,0.0,4.45,0.0,1.11,39.99,0.0,,0.0,80.0,0.0
Lucas Rocha,Fenomeno,Orthodox,125,17.3,59.59,0.0,0.0,36.52,0.0,0.0,0.0,17,2,0,17,2,0,1,0,Unranked,Unranked,['flyweight'],flyweight,2000/08/12,14.88,3.25,51.11,0.0,23.67,61.33,0.0,0.0,0.0,0.0,60.99,0.0,,0.0,80.0,0.0
Shane Howell,,Orthodox,126,15.6,51.56,0.11,0.0,34.91,0.04,0.0,1.33,13,10,0,13,10,0,2,0,Unranked,Unranked,['flyweight'],flyweight,1983/11/28,5.83,5.31,24.43,0.0,31.58,83.41,0.0,0.0,0.0,0.25,19.98,0.0,,0.0,80.0,0.0
Nyamjargal Tumendemberel,Art of Knockout,Orthodox,127,14.9,0.0,25.39,71.67,0.0,0.0,0.0,2.67,8,1,0,8,1,0,1,0,Unranked,Unranked,['flyweight'],flyweight,1998/03/22,28.9,0.0,,9.25,,74.94,24.97,2.21,30.99,0.25,51.99,6.25,68.58,0.0,100.0,11.11
Kiru Sahota,,Orthodox,128,12.4,0.0,19.43,62.51,0.0,0.0,0.0,0.0,12,3,0,12,3,0,1,0,Unranked,Unranked,['flyweight'],flyweight,1995/05/28,40.32,0.0,,0.0,,82.39,9.49,0.0,33.0,0.0,49.99,0.0,14.27,0.0,100.0,0.0
Bentley Syler,Bolivia,Orthodox,129,7.84,0.0,0.0,60.28,0.0,0.0,0.0,0.0,5,1,0,5,1,0,1,0,Unranked,Unranked,['flyweight'],flyweight,1982/12/22,6.21,0.0,,0.0,,92.79,0.0,0.0,0.0,0.0,75.01,0.0,0.0,0.0,100.0,0.0
