,name,height,weight,reach,wins,losses,draws,str_acc,sapm,str_def,td_avg,td_def,sub_avg,stance,dob
126,Andre Gusmao,182.88,92.99,,6,3,0,43.0,3.28,60.0,0.0,60.0,,Orthodox,1977/05/19
127,Andre Lima,170.18,56.7,170.18,11,0,0,60.0,2.49,57.0,1.36,75.0,,Orthodox,1999/02/04
128,Andre Muniz,185.42,83.91,198.12,24,7,0,49.0,2.33,51.0,4.02,35.0,1.2,Southpaw,1990/02/17
129,Andre Pederneiras,172.72,70.31,,1,1,2,0.0,0.0,0.0,0.0,0.0,,Orthodox,1967/03/22
130,Andre Petroski,182.88,83.91,185.42,13,5,0,49.0,2.75,52.0,3.2100000000000004,86.0,1.3,Switch,1991/06/12
131,Andre Roberts,187.96,156.49,,14,2,1,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,1965/02/24
132,Andre Soukhamthath,175.26,61.23,177.8,13,8,0,44.0,4.31,49.0,1.25,58.0,0.2,Orthodox,1988/10/23
133,Andre Winner,180.34,70.31,185.42,21,11,2,33.0,4.57,51.0,0.0,74.0,0.0,Orthodox,1981/11/09
134,Andrea Lee,167.64000000000001,56.7,175.26,13,11,0,45.0,3.91,61.0,1.65,53.0,0.6,Orthodox,1989/02/11
135,Andreas Gustafsson,185.42,77.11,185.42,12,2,0,76.0,2.79,45.0,6.43,100.0,,Orthodox,1991/02/20
136,Andreas Michailidis,182.88,77.11,193.04,13,6,0,51.0,3.57,44.0,1.12,50.0,0.0,Orthodox,1988/07/18
137,Andreas Stahl,180.34,77.11,,10,4,0,37.0,4.74,57.0,1.55,80.0,0.0,Orthodox,1988/05/20
138,Andrei Arlovski,190.5,108.86,195.58,34,24,0,45.0,3.22,57.0,0.37,76.0,0.2,Orthodox,1979/02/04
139,Andrei Semenov,182.88,83.91,,34,9,2,15.0,2.44,60.0,1.74,55.0,0.4,Orthodox,1977/06/17
140,Andrew Craig,185.42,77.11,193.04,9,4,0,40.0,3.0100000000000002,50.0,0.53,72.0,0.0,Orthodox,1986/01/15
141,Andrew Holbrook,180.34,70.31,177.8,12,3,0,49.0,3.0,54.0,0.85,10.0,,Southpaw,1986/02/06
142,Andrew Sanchez,185.42,83.91,187.96,13,7,0,43.0,5.1,50.0,2.55,100.0,0.0,Orthodox,1988/04/08
143,Andrey Pulyaev,193.04,83.91,198.12,9,3,0,58.0,3.93,48.0,0.5,85.0,,Southpaw,1997/09/10
144,Andy Anderson,167.64,108.86,,0,1,0,0.0,0.0,0.0,0.0,0.0,,,1974/07/16
145,Andy Enz,190.5,83.91,198.12,10,4,0,23.0,5.32,57.0,0.0,58.0,,Orthodox,1991/08/15
146,Andy Ogle,172.72,65.77,175.26,9,6,0,44.0,2.23,50.0,1.4400000000000002,58.0,0.0,Orthodox,1989/02/16
147,Andy Wang,167.64,70.31,,7,8,1,36.0,10.29,62.0,0.0,0.0,,Orthodox,1977/05/28
148,Ange Loosa,177.80000000000004,77.11,187.96,10,5,0,46.0,6.59,52.0,2.53,83.0,0.2,Orthodox,1993/03/18
149,Angel Pacheco,172.72,61.23,177.8,7,3,0,,11.47,,0.0,28.0,0.0,Orthodox,1992/01/13
150,Angela Hill,160.02,52.16,162.56,18,14,0,50.0,4.92,61.0,0.81,75.0,0.1,Orthodox,1985/01/12
151,Angela Magana,154.94,52.16,165.1,11,9,0,28.0,4.92,42.0,0.4000000000000001,28.0,0.4,Orthodox,1983/08/02
152,Anistavio Medeiros,167.64,65.77,,19,10,0,,5.0,,0.0,0.0,0.0,Orthodox,1988/05/01
153,Anna Elmose,160.02,52.16,,3,2,0,49.0,4.64,56.0,0.0,33.0,0.0,Orthodox,1984/10/06
154,Ansar Chalangov,175.26,77.11,,14,5,0,66.0,1.69,54.0,0.0,0.0,,Orthodox,1979/10/30
155,Anshul Jubli,182.88,70.31,175.26,7,2,0,46.0,5.72,50.0,0.81,63.0,,Switch,1995/01/13
156,Anthony Birchak,172.72,61.23,175.26,16,8,0,36.0,3.67,56.0,0.48,61.0,0.5,Orthodox,1986/05/16
157,Anthony Christodoulou,175.26,70.31,,12,7,0,26.0,5.9,45.0,0.0,40.0,0.0,Orthodox,1987/07/30
158,Anthony Hamilton,195.58,117.93000000000002,193.04,15,9,0,65.0,3.02,45.0,2.62,78.0,0.0,Orthodox,1980/04/14
159,Anthony Hernandez,182.88,83.91,190.5,14,2,0,63.0,2.61,46.0,6.27,66.0,1.9,Orthodox,1993/10/18
160,Anthony Ivy,187.96,83.91,187.96,8,4,0,42.0,4.57,51.0,4.69,100.0,0.0,Orthodox,1990/01/23
161,Anthony Johnson,187.96,92.99,198.12,22,6,0,47.0,1.83,60.0,2.43,77.0,0.6,Orthodox,1984/03/06
162,Anthony Lapsley,175.26,77.11,,23,7,0,34.0,0.58,66.0,0.0,20.0,0.0,Southpaw,1980/02/13
163,Anthony Macias,175.26,83.91,,26,18,0,0.0,0.0,0.0,0.0,0.0,0.0,Switch,
164,Anthony Njokuani,185.42,70.31,190.5,16,12,0,46.0,2.41,65.0,0.5,53.0,0.2,Orthodox,1980/03/01
165,Anthony Perosh,190.5,92.99,190.5,15,10,0,43.0,3.77,53.0,2.03,33.0,1.1,Orthodox,1972/10/05
166,Anthony Pettis,177.8,70.31,182.88,24,10,0,47.0,3.44,54.0,0.61,60.0,1.1,Orthodox,1987/01/27
167,Anthony Rocco Martin,182.88,77.11,185.42,17,6,0,37.0,2.5899999999999994,58.0,0.7099999999999999,68.0,1.0,Orthodox,1989/12/11
168,Anthony Smith,193.04,92.99,193.04,38,22,0,49.0,5.04,44.0,0.44,50.0,0.6,Orthodox,1988/07/26
169,Anthony Torres,172.72,77.11,,5,3,0,48.0,7.52,45.0,0.0,100.0,2.2,Orthodox,1978/07/31
170,Anton Kuivanen,172.72,70.31,182.88,24,10,0,38.0,1.63,67.0,1.2,71.0,0.4,Orthodox,1984/05/01
171,Anton Turkalj,193.04,92.99,198.12,8,4,0,42.0,3.42,54.0,4.98,16.0,,Orthodox,1996/06/10
172,Anton Zafir,180.34,77.11,,7,3,0,64.0,2.31,52.0,6.11,0.0,,Orthodox,1987/05/10
173,Antoni Hardonk,193.04,111.13,198.12,8,6,0,61.0,3.07,46.0,0.0,40.0,0.9,Orthodox,1976/02/05
