name,height,weight,reach,wins,losses,draws,str_acc,sapm,str_def,splm,td_avg,td_def,td_avg_acc,sub_avg,kd,sub_att,ctrl,sig_str_landed,sig_str_atmpted,td_landed,td_atmpted,stance,nick_name,dob,division,main_div,method,method_losses,finish_round,total_rounds,title_fight,won_title_fight,total_ufc_fights,won_fight,ko_losses,totsub_losses,totdec_losses,nocon_losses,loss_fights,ko_t,totsub,totdec,pfp_rank,div_rank
Rolles Gracie,193.04,109.77,,8,4,0,32.0,3.38,55.0,2.3,2.3,0.0,10.0,,0.0,0.0,102.0,15.0,46.0,1.0,10.0,Orthodox,,1978/07/14,['heavyweight'],heavyweight,[],['KO/TKO'],[],3.0,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0,0,0,Unranked,Unranked
Roman Bogatov,172.72,70.31,185.42,10,1,0,42.0,4.4,44.0,3.33,1.0,50.0,9.0,,0.0,0.0,367.0,50.0,117.0,1.0,11.0,Orthodox,,1990/12/15,['lightweight'],lightweight,[],['Decision - Unanimous'],[],3.0,0,0,1,0,0.0,0.0,1.0,0.0,1.0,0,0,0,Unranked,Unranked
Roman Dolidze,187.96,83.91,193.04,15,3,0,42.0,3.56,49.0,3.58,1.11,33.0,40.0,0.9,4.0,3.0,2362.0,387.0,878.0,11.0,27.0,Orthodox,,1988/07/15,"['middleweight', 'light heavyweight']",middleweight,"['KO/TKO', 'KO/TKO', 'Decision - Unanimous', 'Decision - Split', 'KO/TKO', 'Decision - Unanimous', 'Decision - Unanimous', 'KO/TKO', 'KO/TKO']","['Decision - Majority', 'Decision - Unanimous', 'Decision - Unanimous']","[1.0, 1.0, 3.0, 3.0, 1.0, 5.0, 3.0, 2.0, 1.0]",40.0,0,0,12,9,0.0,0.0,3.0,0.0,3.0,5,0,4,Unranked,7.0
Roman Kopylov,182.88,83.91,190.5,14,3,0,50.0,4.86,55.0,4.96,1.17,87.0,42.0,0.0,6.0,0.0,612.0,389.0,778.0,8.0,19.0,Southpaw,,1991/05/04,['middleweight'],middleweight,"['KO/TKO', 'KO/TKO', 'KO/TKO', 'Decision - Split', 'KO/TKO', 'KO/TKO']","['Submission', 'Submission', 'Decision - Unanimous']","[2.0, 2.0, 3.0, 3.0, 2.0, 3.0]",27.0,0,0,9,6,0.0,2.0,1.0,0.0,3.0,5,0,1,Unranked,14.0
Roman Mitichyan,177.8,77.11,,8,3,0,16.0,2.7,43.0,0.26,1.93,25.0,100.0,1.9,0.0,1.0,48.0,2.0,12.0,1.0,1.0,Orthodox,,1978/09/04,['welterweight'],welterweight,['Submission'],['KO/TKO'],[1.0],6.0,0,0,2,1,1.0,0.0,0.0,0.0,1.0,0,1,0,Unranked,Unranked
Roman Salazar,170.18,61.23,,10,6,0,39.0,2.89,57.0,1.95,1.7700000000000002,50.0,18.0,0.0,0.0,0.0,317.0,17.0,35.0,2.0,11.0,Orthodox,El Gallito,1988/02/21,['bantamweight'],bantamweight,[],"['Could Not Continue', 'Submission', 'Submission']",[],9.0,0,0,3,0,0.0,2.0,0.0,0.0,3.0,0,0,0,Unranked,Unranked
Romie Aram,177.8,77.11,,7,1,0,35.0,2.83,50.0,1.8,2.5,83.0,62.0,,1.0,0.0,294.0,24.0,70.0,2.0,4.0,Orthodox,,1977/12/02,['welterweight'],welterweight,[],['Decision - Unanimous'],[],3.0,0,0,1,0,0.0,0.0,1.0,0.0,1.0,0,0,0,Unranked,Unranked
Ron Faircloth,175.26,92.99,,33,20,0,40.0,8.9,42.0,0.39,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,5.0,0.0,0.0,Orthodox,,1979/08/16,['light heavyweight'],light heavyweight,[],['Could Not Continue'],[],3.0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0,0,0,Unranked,Unranked
Ron Stallings,187.96,77.11,190.5,14,8,0,60.0,3.26,51.0,3.22,0.0,71.0,0.0,0.0,0.0,0.0,74.0,34.0,54.0,0.0,0.0,Southpaw,The Choir Boy,1983/01/25,['middleweight'],middleweight,['Decision - Unanimous'],"['DQ', ""TKO - Doctor's Stoppage""]",[3.0],9.0,0,0,3,1,1.0,0.0,0.0,0.0,2.0,0,0,1,Unranked,Unranked
Ron Waterman,187.96,127.01,,16,6,2,50.0,1.37,42.0,0.84,4.19,50.0,69.0,2.8,0.0,1.0,1259.0,36.0,73.0,6.0,16.0,Orthodox,H20,1965/11/23,['heavyweight'],heavyweight,"['Decision - Unanimous', 'KO/TKO']","['Decision - Unanimous', 'KO/TKO']","[3.0, 1.0]",9.0,0,0,4,2,1.0,0.0,1.0,0.0,2.0,1,0,1,Unranked,Unranked
