name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufcnocon,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
Vagner Rocha,Ceara,Orthodox,197,40.73,64.82,24.68,66.79,43.26,2.96,93.02,18.58,14,4,0,1,3.0,0.0,0.0,4,0,Unranked,Unranked,"['lightweight', 'featherweight']",lightweight,1982/06/06,66.57,60.89,71.33,60.49,54.57,50.29,25.15,23.42,25.71,23.52,56.9,58.19,83.22,65.62,60.13,11.28
Rafael Alves,The Turn,Orthodox,198,40.71,66.82,13.99,69.19,52.47,2.96,93.02,10.27,20,12,0,1,3.0,0.0,0.0,4,0,Unranked,Unranked,['lightweight'],lightweight,1990/11/14,60.98,61.1,77.96,67.24,65.19,60.07,12.97,13.7,14.59,13.81,57.78,66.44,75.26,64.1,70.97,26.84
Jorge Gurgel,,Orthodox,199,40.69,64.92,26.81,58.99,66.06,8.74,23.26,39.49,14,10,0,3,4.0,0.0,0.0,7,0,Unranked,Unranked,['lightweight'],lightweight,1977/01/25,68.57,75.23,58.67,57.21,73.98,63.22,24.27,27.08,24.81,29.27,69.69,60.1,60.24,56.82,58.8,57.35
Felipe Silva,,Orthodox,200,40.52,76.62,48.48,0.0,49.5,2.92,93.02,10.26,8,2,0,1,2.0,0.0,0.0,3,0,Unranked,Unranked,['lightweight'],lightweight,1984/05/08,89.82,64.29,79.52,72.86,60.67,63.19,42.11,39.15,69.56,39.94,63.16,45.7,,45.64,47.23,10.98
Nick Hein,Sergeant,Southpaw,201,40.38,66.03,22.72,56.61,66.42,11.61,23.26,8.94,14,5,0,4,4.0,0.0,0.0,8,0,Unranked,Unranked,['lightweight'],lightweight,1984/04/24,66.58,60.7,64.75,72.09,70.52,62.36,20.61,21.97,22.71,20.72,78.56,57.21,52.98,57.13,59.12,54.24
Ivan Jorge,Batman,Orthodox,202,40.32,69.31,24.2,59.37,66.15,5.78,23.26,42.79,27,7,0,2,2.0,0.0,0.0,4,0,Unranked,Unranked,"['lightweight', 'welterweight']",lightweight,1980/11/07,72.32,67.56,77.29,60.07,70.01,66.16,23.83,25.03,20.65,23.78,74.58,60.1,61.75,56.83,58.81,53.84
Rafaello Oliveira,Tractor,Orthodox,203,40.31,62.53,43.76,67.04,43.22,5.95,23.26,40.17,17,8,0,2,6.0,0.0,0.0,8,0,Unranked,Unranked,['lightweight'],lightweight,1982/01/26,59.98,72.46,60.02,57.67,62.63,56.63,48.11,46.91,43.93,48.26,42.28,82.64,74.07,54.77,56.68,11.33
Joe Proctor,,Orthodox,204,40.29,68.86,1.56,67.86,60.5,11.61,75.58,4.98,11,5,0,4,4.0,0.0,0.0,8,0,Unranked,Unranked,"['lightweight', 'welterweight']",lightweight,1985/08/10,71.02,69.61,64.27,70.54,69.1,59.19,1.41,1.51,1.31,1.57,71.5,67.03,80.49,64.67,59.26,42.2
Jesus Pinedo,El Mudo,Southpaw,205,40.04,65.36,56.97,0.0,74.89,2.87,23.26,23.34,16,5,1,1,1.0,0.0,0.0,2,0,Unranked,Unranked,['lightweight'],lightweight,1996/06/22,69.88,66.1,66.21,59.24,68.24,60.64,55.54,43.84,75.66,44.11,90.23,45.7,,45.64,57.06,80.45
Marcin Held,,Orthodox,206,40.03,60.06,43.18,64.99,49.95,2.96,23.26,60.93,23,7,0,1,3.0,0.0,0.0,4,0,Unranked,Unranked,['lightweight'],lightweight,1992/01/18,55.58,62.48,62.76,59.42,55.22,65.31,46.62,41.16,46.01,44.17,53.26,62.45,71.36,56.06,70.09,26.01
Mike Rio,The Wolverine,Orthodox,207,40.02,61.79,28.95,61.39,41.02,2.96,93.02,18.84,10,5,0,1,3.0,0.0,0.0,4,0,Unranked,Unranked,['lightweight'],lightweight,1981/07/06,58.77,59.37,68.53,60.49,57.51,57.88,35.41,30.24,29.77,28.62,37.52,61.84,69.76,66.03,47.92,11.17
Marcus LeVesseur,The Prospect,Southpaw,207,40.02,71.36,42.46,58.88,43.96,2.92,23.26,51.63,22,7,0,1,2.0,0.0,0.0,3,0,Unranked,Unranked,['lightweight'],lightweight,1982/07/17,68.16,59.64,95.01,62.63,45.2,52.73,50.36,37.59,39.51,37.95,67.02,57.2,62.07,57.13,59.12,10.89
Kurt Holobaugh,The Hurt,Orthodox,209,40.0,72.4,25.22,61.11,44.92,5.99,58.14,18.92,22,10,0,2,7.0,0.0,0.0,9,0,Unranked,Unranked,"['lightweight', 'featherweight']",lightweight,1986/09/08,80.41,72.9,71.49,64.79,56.56,52.9,23.4,25.24,26.6,26.5,53.55,64.79,66.3,65.69,47.66,16.67
Damien Brown,Beatdown,Orthodox,210,39.96,68.92,17.33,62.7,56.86,5.86,58.14,6.38,17,12,0,2,4.0,0.0,0.0,6,0,Unranked,Unranked,['lightweight'],lightweight,1984/12/25,75.19,60.06,67.92,72.51,63.08,54.48,16.43,17.18,17.71,16.45,65.4,62.4,62.36,56.01,70.03,44.48
Rodrigo Damm,,Orthodox,211,39.89,66.29,12.46,63.66,65.35,8.74,46.51,6.89,13,9,0,3,4.0,0.0,0.0,7,0,Unranked,Unranked,"['lightweight', 'featherweight']",lightweight,1980/02/03,70.23,74.39,62.78,57.76,71.26,51.81,11.14,12.56,11.32,11.67,79.89,60.6,57.7,64.71,71.64,58.44
Will Brooks,Ill,Orthodox,212,39.88,74.04,37.35,55.28,49.26,2.96,23.26,23.73,18,4,0,1,3.0,0.0,0.0,4,0,Unranked,11.0,['lightweight'],lightweight,1986/10/08,80.38,66.93,87.85,61.0,58.9,59.57,37.49,33.98,40.11,32.74,67.54,57.84,58.17,57.77,47.34,11.03
Mike Breeden,Money,Orthodox,213,39.86,74.27,18.96,59.07,41.53,2.96,93.02,5.24,11,6,0,1,3.0,0.0,0.0,4,0,Unranked,Unranked,['lightweight'],lightweight,1989/04/21,91.31,66.1,73.71,65.96,52.2,36.54,18.35,17.73,19.41,17.28,65.68,56.62,52.43,56.54,70.69,11.69
Kyle Bradley,,Orthodox,214,39.81,62.92,24.8,59.07,45.48,2.96,93.02,1.53,19,12,0,1,3.0,0.0,0.0,4,0,Unranked,Unranked,"['lightweight', 'welterweight']",lightweight,1982/08/19,61.08,61.08,69.23,60.28,61.61,55.96,23.38,23.03,30.14,22.77,53.08,56.62,52.43,56.54,70.69,11.27
Chris Gruetzemacher,Gritz,Orthodox,215,39.79,77.5,24.5,51.67,47.51,8.74,46.51,7.87,15,5,0,3,4.0,0.0,0.0,7,0,Unranked,Unranked,"['lightweight', 'featherweight']",lightweight,1986/06/16,95.25,69.06,85.23,60.46,59.31,49.4,20.91,22.05,28.85,22.85,64.68,58.58,54.25,58.51,35.34,16.65
