name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufcnocon,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
Abu Azaitar,Captain Morocco,Orthodox,205,36.48,72.72,23.39,56.32,47.74,3.21,23.26,13.91,14,4,1,1,2.0,0.0,0.0,3,0,Unranked,Unranked,['middleweight'],middleweight,1986/03/10,84.99,75.05,69.31,61.53,59.76,50.02,23.21,22.7,25.28,22.42,54.23,53.46,50.09,53.66,68.06,26.95
Kevin Casey,King,Southpaw,206,36.33,72.14,23.51,57.7,46.07,3.4,23.26,18.74,9,5,2,1,5.0,0.0,1.0,7,0,Unranked,Unranked,['middleweight'],middleweight,1981/06/15,68.37,67.96,82.81,69.41,55.26,53.39,22.88,24.35,22.82,26.38,47.83,53.48,55.56,53.68,68.09,27.81
Nate Loughran,,Orthodox,207,36.3,64.41,0.35,68.6,47.21,3.17,93.02,0.0,11,2,0,1,1.0,0.0,0.0,2,0,Unranked,Unranked,['middleweight'],middleweight,1980/07/28,62.96,64.09,67.69,62.9,67.91,52.8,0.36,0.39,0.33,0.38,38.5,62.91,79.42,63.37,68.71,29.63
Lance Gibson,Fearless,Orthodox,208,36.21,77.27,5.92,57.0,35.44,3.17,93.02,38.83,4,5,0,1,1.0,0.0,0.0,2,0,Unranked,Unranked,['middleweight'],middleweight,1970/11/20,60.72,65.3,100.0,72.25,36.2,36.7,5.87,6.47,5.42,7.06,38.91,57.46,49.72,53.26,67.56,29.95
Jesse Forbes,Kid Hercules,Southpaw,209,35.26,61.34,39.42,58.66,43.9,0.09,0.0,4.06,15,5,0,0,3.0,0.0,0.0,3,0,Unranked,Unranked,"['middleweight', 'light heavyweight']",middleweight,1984/10/24,63.48,66.97,49.01,65.9,57.17,48.26,39.72,32.89,49.77,32.61,59.42,58.09,66.66,53.85,56.03,10.76
Bubba Bush,The Fightin' Texas Aggie,Orthodox,210,35.07,66.94,37.42,56.32,41.42,0.05,0.0,21.16,8,3,0,0,1.0,0.0,1.0,2,0,Unranked,Unranked,['middleweight'],middleweight,1985/07/24,53.53,63.37,86.07,64.79,40.13,32.45,42.85,32.51,40.46,32.74,63.32,53.46,50.09,53.66,68.06,29.78
John Salter,,Southpaw,211,35.04,61.46,35.68,0.0,49.52,3.21,93.02,10.2,14,3,0,1,2.0,0.0,0.0,3,0,Unranked,Unranked,['middleweight'],middleweight,1985/03/21,60.46,65.77,58.0,61.6,67.01,62.28,40.76,31.97,37.31,30.4,58.24,44.77,,44.94,46.76,10.55
Alberto Uda,,Orthodox,211,35.04,68.63,36.68,53.85,42.26,0.05,0.0,17.44,12,2,0,0,2.0,0.0,0.0,2,0,Unranked,Unranked,['middleweight'],middleweight,1984/08/08,64.16,63.92,82.15,64.29,49.93,50.65,41.94,31.17,39.55,31.59,57.96,54.05,50.64,54.25,56.45,10.5
Ron Stallings,The Choir Boy,Southpaw,213,34.85,75.01,0.62,56.32,64.2,3.21,23.26,2.92,14,8,0,1,2.0,0.0,0.0,3,0,Unranked,Unranked,['middleweight'],middleweight,1983/01/25,78.29,65.59,91.43,64.73,63.79,61.17,0.57,0.6,0.52,0.6,70.2,53.46,50.09,53.66,68.06,61.64
Andreas Michailidis,The Spartan,Orthodox,214,34.37,71.11,20.89,56.32,40.57,3.26,23.26,12.0,13,6,0,1,3.0,0.0,0.0,4,0,Unranked,Unranked,"['middleweight', 'welterweight', 'light heavyweight']",middleweight,1988/07/18,74.09,66.21,80.39,63.75,49.29,50.22,20.96,20.7,20.76,20.11,52.25,53.46,50.09,53.66,68.06,10.51
Rob Wilkinson,Razor,Orthodox,215,34.32,70.18,37.86,56.32,33.48,0.05,0.0,22.7,11,2,0,0,2.0,0.0,0.0,2,0,Unranked,Unranked,['middleweight'],middleweight,1992/02/22,72.79,64.42,79.56,63.94,47.97,39.01,54.29,39.16,35.74,35.05,35.89,53.46,50.09,53.66,68.06,11.05
Antonio Arroyo,,Orthodox,216,34.31,76.53,24.81,57.01,42.49,0.09,0.0,13.99,9,5,0,0,3.0,0.0,0.0,3,0,Unranked,Unranked,"['middleweight', 'catch weight']",middleweight,1989/07/01,74.68,68.26,98.25,64.92,52.68,58.86,25.21,22.6,27.71,23.88,48.1,53.47,52.82,53.67,68.08,10.32
Scott Smith,Hands of Steel,Orthodox,217,34.15,63.2,5.63,53.1,41.11,3.26,93.02,8.24,18,11,0,1,3.0,0.0,0.0,4,0,Unranked,Unranked,['middleweight'],middleweight,1979/05/21,62.7,64.74,53.01,72.35,56.88,37.95,5.2,5.57,5.0,5.68,58.47,54.69,58.21,54.9,44.61,11.14
Luke Zachrich,,Orthodox,218,33.72,67.6,17.0,53.85,47.12,3.21,23.26,0.04,14,4,0,1,2.0,0.0,0.0,3,0,Unranked,Unranked,['middleweight'],middleweight,1981/12/19,87.88,61.34,58.76,62.41,65.11,46.56,15.94,15.45,17.5,14.83,65.84,54.05,50.64,54.25,56.45,10.97
Jack Marshman,The Hammer,Orthodox,219,32.8,67.6,0.12,51.37,47.46,9.68,46.51,0.25,23,10,0,3,5.0,0.0,0.0,8,0,Unranked,Unranked,['middleweight'],middleweight,1989/12/19,68.12,77.88,49.29,75.11,64.54,51.52,0.12,0.13,0.11,0.13,46.02,54.7,51.25,54.91,44.62,27.76
Dylan Budka,The Mindless Hulk,Switch,220,32.73,61.97,28.23,57.7,43.58,0.09,0.0,13.91,7,5,0,0,3.0,0.0,0.0,3,0,Unranked,Unranked,['middleweight'],middleweight,2000/01/14,55.76,64.15,65.32,62.66,45.98,58.95,29.6,25.02,28.6,25.18,59.29,53.48,55.56,53.68,68.09,10.11
Bevon Lewis,,Orthodox,221,32.64,70.72,9.61,56.32,45.18,3.26,23.26,28.01,7,3,0,1,3.0,0.0,0.0,4,0,Unranked,Unranked,['middleweight'],middleweight,1991/05/05,79.89,70.79,70.03,62.17,56.49,55.78,8.3,10.03,7.67,10.55,57.96,53.46,50.09,53.66,68.06,10.5
John Phillips,The Welsh Wrecking Machine,Southpaw,222,32.47,66.1,0.71,48.9,37.86,3.35,93.02,1.71,22,11,0,1,5.0,0.0,0.0,6,0,Unranked,Unranked,['middleweight'],middleweight,1985/06/09,60.73,71.73,59.97,71.97,54.36,48.62,0.72,0.76,0.67,0.77,37.67,55.44,51.95,55.65,32.56,10.8
Jason Miller,Mayhem,Orthodox,223,32.35,66.0,21.71,62.15,42.21,0.09,0.0,8.16,23,10,0,0,3.0,0.0,0.0,3,0,Unranked,Unranked,"['middleweight', 'welterweight']",middleweight,1980/12/24,62.83,68.09,70.5,62.58,52.16,57.34,22.34,22.64,21.71,20.22,48.99,61.52,66.92,52.97,67.19,10.36
Khalid Murtazaliev,,Orthodox,224,32.19,0.0,80.32,56.32,0.0,3.12,93.02,42.44,14,2,0,1,,,,1,0,Unranked,Unranked,['middleweight'],middleweight,1993/07/15,63.19,42.68,,43.77,,66.69,100.0,59.62,100.0,60.64,58.86,53.46,50.09,53.66,68.06,100.0
Solomon Hutcherson,King,Southpaw,225,32.13,65.7,57.78,0.0,42.2,0.0,0.0,11.7,11,7,0,0,1.0,0.0,0.0,1,0,Unranked,Unranked,['middleweight'],middleweight,1972/08/31,70.34,62.7,66.74,63.01,65.38,57.7,71.98,48.09,84.17,48.1,34.95,44.77,,44.94,57.0,10.76
Mats Nilsson,,Orthodox,226,31.82,67.14,54.1,0.0,43.45,0.05,0.0,10.52,11,4,1,0,2.0,0.0,0.0,2,0,Unranked,Unranked,"['welterweight', 'middleweight']",middleweight,1983/12/05,73.17,67.2,65.93,62.25,68.13,40.31,66.25,44.83,68.32,43.47,54.03,44.77,,44.94,57.0,11.34
Buddy Roberts,,Orthodox,227,31.74,62.91,0.06,58.73,58.01,3.17,23.26,0.53,12,3,0,1,1.0,0.0,0.0,2,0,Unranked,Unranked,['middleweight'],middleweight,1982/10/17,65.84,62.44,60.9,62.46,73.4,64.06,0.05,0.06,0.05,0.06,66.32,53.49,59.65,53.69,68.1,28.26
Yuki Sasaki,,Orthodox,228,30.44,63.87,43.58,0.0,52.0,0.0,0.0,32.74,25,22,2,0,1.0,0.0,0.0,1,0,Unranked,Unranked,['middleweight'],middleweight,1976/09/12,56.51,64.57,71.2,63.2,60.23,66.72,35.96,35.52,62.78,37.28,59.5,44.77,,44.94,57.0,21.55
Paul Jones,,Orthodox,229,30.28,45.23,2.92,61.35,35.04,3.17,93.02,16.37,11,1,1,1,1.0,0.0,0.0,2,0,Unranked,Unranked,['middleweight'],middleweight,1963/06/16,42.55,56.9,23.42,58.05,16.03,67.76,2.94,3.27,2.72,3.27,31.86,62.87,50.54,63.33,68.67,24.52
Adam Cella,El Naturel,Unknown,230,30.27,65.16,49.0,0.0,43.09,0.0,0.0,0.0,6,8,0,0,1.0,0.0,0.0,1,0,Unranked,Unranked,['middleweight'],middleweight,1985/06/26,64.42,62.39,70.39,63.44,54.07,55.91,61.41,39.01,60.2,38.55,51.94,44.77,,44.94,46.76,10.45
Rob Yundt,Monster,Orthodox,231,29.65,63.55,55.13,0.0,33.72,0.05,0.0,8.1,9,5,0,0,2.0,0.0,0.0,2,0,Unranked,Unranked,['middleweight'],middleweight,1980/05/05,59.22,62.49,69.19,63.3,38.05,54.13,65.29,46.55,81.47,46.95,32.64,44.77,,44.94,36.52,10.05
Brian Houston,B-Hue,Orthodox,232,29.45,62.87,44.76,0.0,45.98,0.05,0.0,5.26,4,6,0,0,2.0,0.0,0.0,2,0,Unranked,Unranked,['middleweight'],middleweight,1981/04/26,63.12,64.38,61.74,62.24,56.56,50.23,38.59,35.55,62.22,35.48,66.48,44.77,,44.94,46.76,10.65
Joao Zeferino,The Brazilian Samurai,Orthodox,233,29.37,60.56,9.9,59.77,47.27,0.05,0.0,22.93,21,9,0,0,2.0,0.0,0.0,2,0,Unranked,Unranked,"['welterweight', 'middleweight']",middleweight,1986/01/15,53.6,62.84,63.18,62.62,54.3,58.57,9.44,10.88,8.44,9.91,54.34,53.5,63.76,53.71,68.12,21.87
Bristol Marunde,,Orthodox,234,29.36,56.3,23.25,56.32,37.67,0.05,0.0,8.51,16,10,0,0,2.0,0.0,0.0,2,0,Unranked,Unranked,"['middleweight', 'welterweight']",middleweight,1982/04/20,57.61,60.3,46.21,61.08,53.04,46.39,26.05,23.64,25.31,22.13,40.41,53.46,50.09,53.66,68.06,10.83
Joe Slick,,Orthodox,235,29.34,45.27,1.62,56.32,35.04,3.17,93.02,9.93,16,5,3,1,1.0,0.0,0.0,2,0,Unranked,Unranked,['middleweight'],middleweight,1977/10/17,42.5,57.2,23.4,57.98,16.03,67.76,1.65,1.79,1.52,1.8,31.86,53.46,50.09,53.66,68.06,24.52
Jose Daniel Medina,Chicho,Orthodox,236,29.27,63.84,16.0,56.32,38.49,0.05,0.0,4.26,11,5,0,0,2.0,0.0,0.0,2,0,Unranked,Unranked,['middleweight'],middleweight,1991/05/17,65.87,64.12,62.96,62.41,53.89,41.55,15.54,15.61,17.86,15.37,47.51,53.46,50.09,53.66,68.06,11.01
Val Woodburn,The Animal,Orthodox,237,29.22,63.71,49.94,0.0,37.52,0.05,0.0,6.86,7,2,0,0,2.0,0.0,0.0,2,0,Unranked,Unranked,"['welterweight', 'middleweight']",middleweight,1993/08/10,60.7,64.12,62.09,67.92,44.09,42.31,50.2,40.89,70.86,40.65,53.02,44.77,,44.94,57.0,10.67
Gideon Ray,,Southpaw,238,29.14,65.0,46.99,0.0,39.36,0.09,0.0,1.38,17,15,1,0,3.0,0.0,0.0,3,0,Unranked,Unranked,['middleweight'],middleweight,1973/05/27,65.55,63.72,67.76,62.97,56.03,56.61,48.55,41.45,72.55,40.88,34.25,44.77,,44.94,46.76,10.55
Robert Valentin,Robzilla,Orthodox,239,28.98,69.29,1.06,62.49,36.68,7.06,0.0,6.74,11,5,0,0,2.0,0.0,0.0,2,0,Unranked,Unranked,"['ultimate fighter 32 middleweight tournament', 'middleweight']",middleweight,1995/03/31,58.03,64.98,89.35,64.8,31.56,55.16,0.99,1.06,0.91,1.06,50.23,61.52,68.27,52.98,67.19,9.77
