name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufcnocon,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
Andreas Stahl,Real Steel,Orthodox,252,34.44,65.89,31.54,58.28,44.76,0.04,0.0,11.19,10,4,0,0,2.0,0.0,0.0,2,0,Unranked,Unranked,['welterweight'],welterweight,1988/05/20,71.72,62.51,65.89,63.44,58.99,45.81,30.77,26.93,37.02,27.04,63.55,55.65,52.42,55.67,69.39,10.69
Keith Wisniewski,The Polish Connection,Orthodox,253,33.81,71.56,27.18,60.02,39.54,0.13,0.0,24.28,28,15,1,0,4.0,0.0,0.0,4,0,Unranked,Unranked,['welterweight'],welterweight,1981/10/25,68.22,67.71,85.78,64.52,43.16,43.74,26.82,25.33,26.97,25.92,60.89,59.21,56.6,55.32,68.95,10.37
Jonavin Webb,The Spyder,Orthodox,254,33.73,61.66,25.16,62.1,50.09,0.04,0.0,12.15,9,2,0,0,2.0,0.0,0.0,2,0,Unranked,Unranked,['welterweight'],welterweight,1989/04/28,58.58,63.23,56.57,68.26,67.34,61.93,29.79,25.16,24.65,23.07,49.2,55.68,67.59,55.7,69.43,21.89
Edgar Garcia,,Orthodox,255,33.67,64.14,32.0,55.7,43.44,0.13,0.0,6.1,14,5,0,0,4.0,0.0,0.0,4,0,Unranked,Unranked,['welterweight'],welterweight,1984/02/22,72.08,69.22,54.07,61.19,62.04,48.96,35.28,29.03,36.58,28.37,52.04,56.83,62.81,56.86,46.29,10.72
Yuri Villefort,,Orthodox,256,33.61,69.6,23.87,59.42,44.98,0.04,0.0,11.81,10,5,0,0,2.0,0.0,0.0,2,0,Unranked,Unranked,['welterweight'],welterweight,1991/03/23,75.09,66.25,73.46,63.6,61.02,44.67,26.82,23.69,24.45,22.16,51.37,55.65,56.96,55.68,69.39,22.86
Jordan Williams,Bomaye,Southpaw,257,33.44,78.48,24.05,55.84,37.45,0.09,0.0,7.38,9,6,0,0,3.0,0.0,0.0,3,0,Unranked,Unranked,"['middleweight', 'welterweight']",welterweight,1990/10/13,100.0,65.82,83.13,64.4,36.37,40.03,22.57,21.41,26.11,21.16,63.1,56.22,52.95,56.24,57.94,10.3
Anying Wang,,Orthodox,258,33.4,57.81,0.18,58.28,45.72,2.91,93.02,1.82,2,1,0,1,1.0,0.0,0.0,2,0,Unranked,Unranked,['welterweight'],welterweight,1991/04/04,56.6,61.53,51.15,61.96,46.47,64.32,0.17,0.19,0.16,0.19,45.35,55.65,52.42,55.67,69.39,26.74
Yohan Lainesse,White Lion,Orthodox,259,33.32,68.44,15.31,55.32,45.31,2.99,23.26,3.38,9,3,0,1,3.0,0.0,0.0,4,0,Unranked,Unranked,['welterweight'],welterweight,1992/08/14,66.12,67.78,70.78,69.08,58.75,52.79,14.84,14.56,14.95,14.12,59.22,56.84,61.28,56.87,46.3,10.47
Christian Aguilera,The Beast,Switch,260,33.22,65.37,0.26,53.41,40.49,2.95,93.02,1.21,14,8,0,1,2.0,0.0,0.0,3,0,Unranked,Unranked,['welterweight'],welterweight,1991/11/25,68.89,63.61,65.71,63.27,48.86,48.53,0.24,0.27,0.22,0.26,54.19,56.87,53.56,56.89,46.32,10.38
Dan Cramer,,Orthodox,261,32.59,58.65,4.28,60.19,61.09,2.91,23.26,42.59,11,4,0,1,1.0,0.0,0.0,2,0,Unranked,Unranked,['welterweight'],welterweight,1985/10/31,54.04,61.42,56.53,62.61,38.04,69.04,3.79,4.25,3.47,4.67,65.26,55.66,60.01,55.69,69.4,72.02
Bobby Voelker,Vicious,Orthodox,262,32.57,69.64,25.55,58.28,37.83,0.13,0.0,13.63,19,13,0,0,4.0,0.0,0.0,4,0,Unranked,Unranked,['welterweight'],welterweight,1979/04/26,78.89,78.32,60.67,60.67,44.13,38.96,24.14,23.65,28.23,23.9,57.63,55.65,52.42,55.67,69.39,10.6
Adam Fugitt,,Southpaw,263,32.48,75.17,22.8,0.0,47.62,5.85,58.14,8.26,10,4,0,2,2.0,0.0,0.0,4,0,Unranked,Unranked,['welterweight'],welterweight,1989/01/12,87.27,76.84,74.32,62.25,56.55,50.34,25.38,22.92,21.95,21.13,55.19,44.96,,44.98,46.34,28.41
Michael Page,Venom,Switch,263,32.48,76.55,10.05,0.0,75.47,5.8,23.26,9.39,23,3,0,2,1.0,0.0,0.0,3,0,Unranked,13.0,"['middleweight', 'welterweight']",welterweight,1987/04/07,70.87,70.85,99.3,65.18,67.34,74.81,9.17,9.86,9.61,9.9,67.23,44.96,,44.98,56.06,92.51
Anton Zafir,The Professor,Orthodox,265,32.15,77.8,51.62,0.0,37.68,0.04,0.0,14.25,7,3,0,0,2.0,0.0,0.0,2,0,Unranked,Unranked,['welterweight'],welterweight,1987/05/10,76.36,65.23,100.0,66.2,51.79,57.6,82.5,44.18,57.61,44.07,31.1,44.96,,44.98,56.06,10.22
Greg Soto,,Orthodox,266,32.05,78.42,21.38,0.0,60.87,2.95,23.26,27.79,9,4,0,1,2.0,0.0,0.0,3,0,Unranked,Unranked,['welterweight'],welterweight,1986/06/03,77.47,69.98,100.0,65.37,61.15,66.0,22.57,21.12,20.75,21.7,55.99,44.96,,44.98,46.34,60.34
Rostem Akman,,Switch,267,31.73,58.77,20.13,58.28,50.78,0.04,0.0,11.53,6,2,0,0,2.0,0.0,0.0,2,0,Unranked,Unranked,['welterweight'],welterweight,1991/12/19,60.32,63.86,49.49,61.4,60.82,51.94,18.85,18.19,20.65,18.01,68.32,55.65,52.42,55.67,69.39,22.04
Ricardo Funch,Golden Boy,Southpaw,268,31.59,77.83,17.0,53.41,38.17,0.13,0.0,18.17,9,6,0,0,4.0,0.0,0.0,4,0,Unranked,Unranked,['welterweight'],welterweight,1980/08/14,72.22,69.45,100.0,65.72,40.17,49.77,17.19,17.28,15.18,16.91,52.65,56.87,53.56,56.89,46.32,10.09
Nathan Coy,Soulforce,Southpaw,269,31.56,75.36,34.62,0.0,45.02,2.95,23.26,18.47,15,7,0,1,2.0,0.0,0.0,3,0,Unranked,Unranked,['welterweight'],welterweight,1978/07/24,82.16,69.93,85.24,64.11,61.14,58.06,42.13,30.78,36.23,31.37,50.49,44.96,,44.98,36.62,10.4
