name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufcnocon,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
Ali AlQaisi,The Royal Fighter,Orthodox,144,35.99,63.49,34.01,61.43,50.46,0.05,0.0,54.64,8,5,0,0,2.0,0.0,0.0,2,0,Unranked,Unranked,['bantamweight'],bantamweight,1990/09/23,61.88,61.28,69.62,61.18,57.86,65.94,41.89,33.39,31.21,30.29,56.25,59.16,64.57,54.12,67.87,21.78
Khalid Taha,The Warrior,Orthodox,145,35.98,62.62,1.68,59.16,52.21,3.35,93.02,6.25,13,5,0,1,4.0,0.0,1.0,6,0,Unranked,Unranked,"['bantamweight', 'featherweight']",bantamweight,1992/02/15,62.1,64.59,52.57,71.22,49.09,57.07,1.54,1.73,1.4,1.7,61.4,59.11,55.63,54.08,67.82,41.28
Mark De La Rosa,Bumblebee,Orthodox,146,35.96,62.76,14.64,61.17,44.37,6.51,58.14,19.0,11,5,0,2,5.0,0.0,0.0,7,0,Unranked,13.0,"['flyweight', 'bantamweight']",bantamweight,1994/08/31,64.91,72.23,55.77,58.13,50.56,49.96,13.9,16.41,13.3,15.47,50.65,61.61,57.98,68.63,56.45,26.31
Wulijiburen,Beast Master,Orthodox,147,35.78,61.41,39.1,59.72,46.35,0.09,0.0,48.16,20,9,0,0,3.0,0.0,0.0,3,0,Unranked,Unranked,"['bantamweight', 'featherweight']",bantamweight,1989/03/01,54.66,59.43,70.02,61.53,56.0,57.55,45.05,36.05,38.46,34.63,61.31,59.12,57.85,54.08,67.83,10.54
Pingyuan Liu,,Orthodox,148,35.63,60.38,13.09,62.26,59.76,6.37,23.26,24.27,13,7,0,2,2.0,0.0,0.0,4,0,Unranked,Unranked,['bantamweight'],bantamweight,1993/02/13,60.0,61.26,54.45,65.81,61.3,66.05,11.86,12.95,12.82,13.37,60.44,64.05,64.02,53.66,67.3,51.24
John Albert,Prince,Orthodox,149,35.45,70.42,2.06,67.79,34.81,3.31,93.02,9.52,6,5,0,1,4.0,0.0,0.0,5,0,Unranked,Unranked,['bantamweight'],bantamweight,1986/10/13,68.89,62.18,82.13,68.48,28.27,54.47,1.92,2.16,1.74,2.15,46.73,81.71,100.0,54.67,13.32,9.77
Kwan Ho Kwak,,Switch,150,35.38,65.0,42.95,57.76,37.26,0.05,0.0,2.42,9,2,0,0,2.0,0.0,0.0,2,0,Unranked,Unranked,['bantamweight'],bantamweight,1989/06/18,69.39,62.08,67.68,60.84,44.4,54.16,38.93,37.57,68.72,36.17,40.1,54.16,53.88,54.56,68.43,10.38
Jeff Hougland,Hellbound,Orthodox,151,35.24,65.29,14.77,64.2,53.12,3.21,23.26,20.63,10,6,0,1,2.0,0.0,0.0,3,0,Unranked,Unranked,['bantamweight'],bantamweight,1978/08/02,57.62,60.93,80.37,62.25,53.39,65.06,15.96,16.98,15.26,15.63,35.79,73.64,64.1,52.82,66.24,58.25
Quang Le,Bang,Orthodox,152,35.23,62.06,35.41,0.0,50.26,3.21,93.02,45.86,9,2,0,1,2.0,0.0,0.0,3,0,Unranked,Unranked,['bantamweight'],bantamweight,1991/10/18,62.59,66.03,60.12,59.5,48.0,51.69,39.59,31.94,32.38,30.69,75.18,44.68,,54.8,56.45,26.18
Henry Briones,Bure,Orthodox,153,35.19,67.62,0.46,63.13,41.48,3.31,93.02,1.98,16,8,1,1,4.0,0.0,0.0,5,0,Unranked,Unranked,['bantamweight'],bantamweight,1980/10/22,71.68,61.54,69.86,67.4,53.7,48.87,0.43,0.48,0.39,0.46,52.54,66.63,62.01,67.97,55.91,10.81
Domingo Pilarte,Son of Fire,Southpaw,154,35.14,63.19,26.45,60.86,55.62,0.09,0.0,35.2,8,3,0,0,2.0,0.0,1.0,3,0,Unranked,Unranked,['bantamweight'],bantamweight,1990/01/05,52.83,57.97,79.3,62.66,41.58,65.84,26.16,24.42,29.41,25.45,59.14,59.14,62.33,54.11,67.86,55.92
Pedro Falcao,Pedrinho,Orthodox,155,35.04,68.56,30.19,57.76,47.43,0.05,0.0,69.94,16,5,0,0,2.0,0.0,0.0,2,0,Unranked,Unranked,['bantamweight'],bantamweight,1992/07/30,69.84,62.6,79.91,61.89,50.78,57.69,34.32,30.39,27.0,28.06,59.27,54.16,53.88,54.56,68.43,21.97
Anthony Birchak,El Toro,Orthodox,156,34.9,67.75,10.29,53.6,44.34,6.46,58.14,8.55,16,8,0,2,4.0,0.0,0.0,6,0,Unranked,Unranked,['bantamweight'],bantamweight,1986/05/16,74.34,65.58,59.2,71.88,56.74,54.38,9.73,10.37,9.51,10.03,55.57,55.54,61.01,55.95,41.9,10.68
Benardo Sopaj,Lion King,Orthodox,157,34.81,77.51,43.81,0.0,49.41,3.17,23.26,48.08,12,3,0,1,1.0,0.0,0.0,2,0,Unranked,Unranked,['bantamweight'],bantamweight,2000/09/25,79.96,68.49,93.18,68.41,51.81,50.67,46.2,36.43,53.33,37.0,66.43,44.68,,45.01,56.45,28.74
Albert Morales,The Warrior,Orthodox,158,34.78,64.4,25.0,55.54,45.01,3.35,23.26,28.07,7,4,1,1,5.0,0.0,0.0,6,0,Unranked,Unranked,['bantamweight'],bantamweight,1991/05/25,70.76,73.08,55.7,58.06,56.97,52.84,23.14,23.15,25.69,25.12,59.5,54.82,56.81,55.22,55.31,10.72
Martin Day,The Spartan,Orthodox,159,34.68,72.68,29.23,56.39,43.36,0.14,0.0,14.44,8,6,0,0,4.0,0.0,0.0,4,0,Unranked,Unranked,"['bantamweight', 'featherweight']",bantamweight,1988/11/10,76.19,66.75,74.47,73.32,52.7,53.3,26.2,25.96,36.42,26.12,56.83,54.82,60.21,55.22,55.31,10.61
Cortavious Romious,,Southpaw,160,34.48,59.85,41.62,60.03,37.44,0.05,0.0,57.63,9,4,0,0,2.0,0.0,0.0,2,0,Unranked,Unranked,['bantamweight'],bantamweight,1994/01/06,56.96,58.16,63.23,61.04,33.75,52.43,43.65,36.06,50.26,36.78,53.52,54.19,62.88,54.59,68.46,10.06
Walel Watson,The Gazelle,Orthodox,161,33.97,58.96,0.79,60.61,44.89,3.26,93.02,4.6,14,10,0,1,3.0,0.0,0.0,4,0,Unranked,Unranked,['bantamweight'],bantamweight,1984/07/16,57.96,57.23,48.58,72.07,42.05,55.37,0.73,0.81,0.66,0.79,57.35,64.73,69.16,54.23,54.32,24.79
Damacio Page,The Angel of Death,Orthodox,162,33.85,60.47,41.37,51.95,39.39,0.09,0.0,31.29,19,10,0,0,3.0,0.0,0.0,3,0,Unranked,Unranked,['bantamweight'],bantamweight,1982/09/30,57.82,60.73,62.75,60.58,48.92,59.61,48.24,37.26,52.46,38.06,38.7,56.34,66.54,56.75,28.17,10.33
Marcos Vinicius,Vina,Orthodox,163,33.8,65.69,1.4,59.18,37.55,3.21,93.02,12.5,23,11,1,1,2.0,0.0,0.0,3,0,Unranked,Unranked,"['flyweight', 'featherweight', 'bantamweight']",bantamweight,1979/12/05,58.84,58.34,82.74,62.84,43.92,56.73,1.38,1.51,1.25,1.52,39.28,54.18,59.51,54.58,68.45,10.27
