name,height,weight,reach,wins,losses,draws,str_acc,sapm,str_def,splm,td_avg,td_def,td_avg_acc,sub_avg,kd,sub_att,ctrl,sig_str_landed,sig_str_atmpted,td_landed,td_atmpted,stance,nick_name,dob,division,main_div,method,method_losses,finish_round,total_rounds,title_fight,won_title_fight,total_ufc_fights,won_fight,ko_losses,totsub_losses,totdec_losses,nocon_losses,loss_fights,ko_t,totsub,totdec,pfp_rank,div_rank
Michinori Tanaka,165.1,61.23,170.18,11,3,0,37.0,1.9899999999999998,50.0,1.97,2.4,43.0,38.0,0.2,0.0,0.0,1830.0,126.0,334.0,12.0,31.0,Orthodox,,1990/10/04,['bantamweight'],bantamweight,"['Decision - Split', 'Decision - Unanimous']","['Decision - Split', 'Decision - Unanimous', 'Decision - Unanimous']","[3.0, 3.0]",15.0,0,0,5,2,0.0,0.0,3.0,0.0,3.0,0,0,2,Unranked,Unranked
Miguel Torres,175.26,61.23,193.04,44,9,0,,1.86,,3.98,0.0,17.0,0.0,1.6,0.0,3.0,476.0,0.0,0.0,0.0,2.0,Orthodox,,1981/01/18,['bantamweight'],bantamweight,"['Decision - Unanimous', 'Decision - Unanimous']","['KO/TKO', 'Decision - Unanimous']","[3.0, 3.0]",12.0,0,0,4,2,1.0,0.0,1.0,0.0,2.0,0,0,2,Unranked,Unranked
Mike Easton,167.64000000000001,61.23,177.8,13,6,0,37.0,4.28,61.0,3.5100000000000002,0.75,66.0,22.0,0.0,1.0,0.0,566.0,235.0,711.0,5.0,22.0,Southpaw,The Hulk,1984/01/25,['bantamweight'],bantamweight,"['Decision - Majority', 'KO/TKO', 'Decision - Unanimous']","['Decision - Unanimous', 'Decision - Unanimous', 'Decision - Split', 'Decision - Unanimous']","[3.0, 2.0, 3.0]",21.0,0,0,7,3,0.0,0.0,4.0,0.0,4.0,1,0,2,Unranked,6.0
Miles Johns,170.18,61.23,167.64,15,3,0,44.0,2.65,67.0,3.16,0.9200000000000002,81.0,20.0,0.0,2.0,0.0,1253.0,162.0,356.0,6.0,40.0,Orthodox,Chapo,1994/03/30,"['featherweight', 'bantamweight']",bantamweight,"['Decision - Unanimous', 'KO/TKO', 'KO/TKO', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Split']","['Decision - Unanimous', 'Submission', 'KO/TKO', 'Overturned']","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",30.0,0,0,10,6,1.0,1.0,1.0,1.0,3.0,2,0,4,Unranked,Unranked
Mitch Gagnon,165.1,61.23,165.1,12,5,0,46.0,2.21,61.0,2.76,1.16,65.0,25.0,1.8999999999999997,3.0,10.0,1022.0,85.0,176.0,6.0,24.0,Southpaw,,1984/10/10,['bantamweight'],bantamweight,"['Submission', 'Decision - Unanimous', 'Submission', 'Submission']","['Decision - Unanimous', 'Decision - Unanimous', 'Submission', 'Submission']","[1.0, 3.0, 1.0, 1.0]",24.0,0,0,8,4,0.0,2.0,2.0,0.0,4.0,0,3,1,Unranked,13.0
Montel Jackson,177.8,61.23,190.5,15,2,0,53.0,1.39,62.0,3.22,3.24,68.0,62.0,0.4000000000000001,11.0,2.0,2593.0,135.0,281.0,24.0,40.0,Southpaw,Quik,1992/04/24,['bantamweight'],bantamweight,"['Decision - Unanimous', 'KO/TKO', 'Decision - Unanimous', 'KO/TKO', 'Decision - Unanimous', 'Decision - Unanimous', 'KO/TKO', 'Decision - Unanimous', 'Submission']","['Decision - Unanimous', 'Decision - Unanimous']","[3.0, 1.0, 3.0, 1.0, 3.0, 3.0, 1.0, 3.0, 1.0]",33.0,0,0,11,9,0.0,0.0,2.0,0.0,2.0,3,1,5,Unranked,14.0
Motonobu Tezuka,170.18,61.23,,28,12,7,23.0,2.8,51.0,0.87,1.5,0.0,11.0,,0.0,0.0,695.0,26.0,110.0,3.0,27.0,Southpaw,,1987/08/29,['bantamweight'],bantamweight,[],"['Decision - Unanimous', 'Decision - Split']",[],6.0,0,0,2,0,0.0,0.0,2.0,0.0,2.0,0,0,0,Unranked,Unranked
Muin Gafurov,170.18,61.23,172.72,20,6,0,45.0,2.21,52.0,2.89,1.47,70.0,26.0,,1.0,0.0,677.0,146.0,321.0,1.0,11.0,Orthodox,Tajik,1996/05/17,['bantamweight'],bantamweight,"['Decision - Unanimous', 'Decision - Unanimous']","['Submission', 'Decision - Unanimous']","[3.0, 3.0]",12.0,0,0,4,2,0.0,1.0,1.0,0.0,2.0,0,0,2,Unranked,Unranked
Nathan Fletcher,170.18,61.23,177.8,9,2,0,60.0,1.7,61.0,3.44,3.53,50.0,38.0,0.7,0.0,0.0,444.0,14.0,20.0,5.0,13.0,Orthodox,,1998/01/03,"['bantamweight', 'featherweight']",bantamweight,['Submission'],['Decision - Split'],[2.0],6.0,0,0,2,1,0.0,0.0,1.0,0.0,1.0,0,1,0,Unranked,Unranked
Nick Aguirre,175.26,61.23,187.96,7,2,0,33.0,2.89,45.0,0.73,1.16,33.0,20.0,,0.0,0.0,421.0,19.0,56.0,2.0,10.0,Southpaw,Slick,1996/01/15,"['bantamweight', 'featherweight']",bantamweight,[],"['Submission', 'Decision - Unanimous']",[],6.0,0,0,2,0,0.0,1.0,1.0,0.0,2.0,0,0,0,Unranked,Unranked
Nick Denis,170.18,61.23,,11,3,0,53.0,5.42,36.0,6.54,2.8,80.0,100.0,,1.0,0.0,127.0,35.0,66.0,1.0,1.0,Orthodox,The Ninja of Love,1983/10/11,['bantamweight'],bantamweight,['KO/TKO'],['Submission'],[1.0],6.0,0,0,2,1,0.0,1.0,0.0,0.0,1.0,1,0,0,Unranked,Unranked
Nick Pace,170.18,61.23,172.72,8,3,0,34.0,3.14,57.0,1.4799999999999998,2.52,54.0,43.0,,0.0,0.0,854.0,80.0,229.0,10.0,16.0,Orthodox,,1987/04/17,['bantamweight'],bantamweight,['Submission'],"['Decision - Unanimous', 'Decision - Unanimous']",[3.0],9.0,0,0,3,1,0.0,0.0,2.0,0.0,2.0,0,1,0,Unranked,Unranked
Nohelin Hernandez,177.8,61.23,180.34,9,4,0,34.0,2.63,52.0,1.32,0.71,37.0,50.0,,0.0,0.0,216.0,28.0,82.0,1.0,2.0,Orthodox,Suave,1994/03/01,['bantamweight'],bantamweight,[],"['Submission', 'Submission']",[],6.0,0,0,2,0,0.0,2.0,0.0,0.0,2.0,0,0,0,Unranked,Unranked
