name,height,weight,reach,wins,losses,draws,str_acc,sapm,str_def,splm,td_avg,td_def,td_avg_acc,sub_avg,kd,sub_att,ctrl,sig_str_landed,sig_str_atmpted,td_landed,td_atmpted,stance,nick_name,dob,division,main_div,method,method_losses,finish_round,total_rounds,title_fight,won_title_fight,total_ufc_fights,won_fight,ko_losses,totsub_losses,totdec_losses,nocon_losses,loss_fights,ko_t,totsub,totdec,pfp_rank,div_rank
Cody Brundage,182.88,83.91,182.88,11,7,0,52.0,2.9,46.0,2.23,1.87,68.0,47.0,0.8,3.0,2.0,684.0,70.0,134.0,9.0,18.0,Orthodox,,1994/05/16,['middleweight'],middleweight,"['KO/TKO', 'KO/TKO', 'KO/TKO', 'DQ', 'Submission']","['Decision - Unanimous', 'KO/TKO', 'Decision - Unanimous', 'Decision - Unanimous', 'Could Not Continue', 'Submission', 'Submission']","[1.0, 1.0, 1.0, 1.0, 1.0]",36.0,0,0,12,5,1.0,2.0,3.0,0.0,7.0,3,1,0,Unranked,Unranked
Collin Hart,185.42,83.91,,6,3,1,44.0,7.53,51.0,6.33,2.0,50.0,16.0,,0.0,0.0,213.0,95.0,212.0,2.0,12.0,Orthodox,,1989/10/12,['middleweight'],middleweight,[],['Decision - Unanimous'],[],3.0,0,0,1,0,0.0,0.0,1.0,0.0,1.0,0,0,0,Unranked,Unranked
Constantinos Philippou,180.34,83.91,185.42,13,5,0,35.0,2.73,54.0,2.19,0.4,65.0,42.0,0.3,5.0,0.0,635.0,157.0,415.0,3.0,7.0,Orthodox,,1979/11/29,"['middleweight', 'catch weight']",middleweight,"['KO/TKO', 'Decision - Unanimous', 'KO/TKO', 'Decision - Unanimous', 'KO/TKO', 'Decision - Split']","['Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous', 'KO/TKO']","[1.0, 3.0, 3.0, 3.0, 1.0, 3.0]",32.0,0,0,10,6,1.0,0.0,3.0,0.0,4.0,3,0,3,Unranked,Unranked
Crafton Wallace,182.88,83.91,,18,6,1,44.0,2.36,47.0,1.55,0.0,42.0,0.0,,0.0,0.0,45.0,5.0,27.0,0.0,0.0,Orthodox,Blaze,1975/11/10,['middleweight'],middleweight,[],"['Submission', 'Submission']",[],6.0,0,0,2,0,0.0,2.0,0.0,0.0,2.0,0,0,0,Unranked,Unranked
Cung Le,175.26,83.91,177.8,9,3,0,48.0,2.98,66.0,4.36,1.37,88.0,71.0,0.3,1.0,0.0,75.0,78.0,207.0,2.0,3.0,Southpaw,,1972/05/25,['middleweight'],middleweight,"['Decision - Unanimous', 'KO/TKO']","['KO/TKO', 'KO/TKO']","[3.0, 1.0]",16.0,0,0,4,2,2.0,0.0,0.0,0.0,2.0,1,0,1,Unranked,Unranked
Curtis Stout,185.42,83.91,,11,12,1,67.0,3.2,29.0,0.69,0.0,20.0,0.0,,0.0,0.0,4.0,7.0,10.0,0.0,0.0,Southpaw,,1973/11/07,['middleweight'],middleweight,[],"['Submission', 'Decision - Unanimous']",[],5.0,0,0,2,0,0.0,1.0,1.0,0.0,2.0,0,0,0,Unranked,Unranked
Daiju Takase,182.88,77.11,,12,15,2,30.0,1.64,47.0,0.49,0.84,21.0,17.0,,0.0,0.0,0.0,5.0,25.0,0.0,1.0,Southpaw,,1978/04/20,"['welterweight', 'open weight', 'middleweight']",middleweight,[],"['KO/TKO', 'Decision - Unanimous', 'KO/TKO']",[],9.0,0,0,3,0,2.0,0.0,1.0,0.0,3.0,0,0,0,Unranked,Unranked
Dalcha Lungiambula,172.72,83.91,193.04,11,6,0,45.0,3.93,52.0,3.07,2.14,77.0,45.0,0.0,1.0,0.0,1147.0,40.0,96.0,10.0,22.0,Orthodox,Champion,1987/07/31,"['middleweight', 'light heavyweight']",middleweight,"['Decision - Unanimous', 'KO/TKO']","['Submission', 'Decision - Unanimous', 'KO/TKO', 'KO/TKO', 'KO/TKO']","[3.0, 3.0]",21.0,0,0,7,2,3.0,1.0,1.0,0.0,5.0,1,0,1,Unranked,Unranked
Dan Henderson,180.34,83.91,187.96,32,15,0,47.0,2.7,51.0,2.44,1.52,57.0,52.0,0.3,9.0,1.0,1754.0,343.0,749.0,15.0,35.0,Orthodox,Hendo,1970/08/24,"['middleweight', 'light heavyweight', '17 middleweight tournament']",middleweight,"['KO/TKO', 'KO/TKO', 'Decision - Split', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Split', 'KO/TKO', 'KO/TKO', 'Decision - Unanimous']","['KO/TKO', 'Decision - Unanimous', 'KO/TKO', 'Submission', 'KO/TKO', 'Decision - Split', 'Decision - Split', 'Submission', 'Decision - Unanimous']","[2.0, 2.0, 3.0, 3.0, 2.0, 2.0, 1.0, 3.0, 5.0]",66.0,4,1,18,9,3.0,2.0,4.0,0.0,9.0,4,0,5,10.0,1.0
Dan Miller,185.42000000000002,83.91,187.96,14,8,0,36.0,3.06,49.0,2.03,1.6700000000000002,47.0,54.0,1.8,2.0,13.0,1764.0,139.0,471.0,15.0,29.0,Orthodox,,1981/06/30,"['middleweight', 'welterweight']",middleweight,"['Submission', 'Submission', 'Submission', 'Decision - Unanimous', 'Submission', 'Decision - Split']","['Decision - Unanimous', 'KO/TKO', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous']","[3.0, 2.0, 1.0, 3.0, 1.0, 3.0]",39.0,0,0,13,6,1.0,0.0,6.0,0.0,7.0,0,4,2,Unranked,Unranked
Daniel Kelly,182.88,83.91,177.8,13,4,0,38.0,4.64,61.0,3.62,1.86,78.0,34.0,0.3,0.0,0.0,1070.0,142.0,365.0,12.0,35.0,Southpaw,,1977/10/31,['middleweight'],middleweight,"['Decision - Unanimous', 'KO/TKO', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Split', 'Submission']","['KO/TKO', 'KO/TKO', 'Decision - Unanimous', 'KO/TKO']","[3.0, 3.0, 3.0, 3.0, 3.0, 1.0]",30.0,0,0,10,6,3.0,0.0,1.0,0.0,4.0,1,1,4,Unranked,14.0
