name,height,weight,reach,wins,losses,draws,str_acc,sapm,str_def,splm,td_avg,td_def,td_avg_acc,sub_avg,kd,sub_att,ctrl,sig_str_landed,sig_str_atmpted,td_landed,td_atmpted,stance,nick_name,dob,division,main_div,method,method_losses,finish_round,total_rounds,title_fight,won_title_fight,total_ufc_fights,won_fight,ko_losses,totsub_losses,totdec_losses,nocon_losses,loss_fights,ko_t,totsub,totdec,pfp_rank,div_rank
Che Mills,185.42,77.11,193.04,16,10,0,52.0,2.87,43.0,2.08,1.18,58.0,66.0,0.0,2.0,0.0,180.0,17.0,38.0,2.0,3.0,Orthodox,Beautiful,1982/09/29,['welterweight'],welterweight,"['KO/TKO', 'KO/TKO']","['Overturned', 'KO/TKO']","[1.0, 1.0]",12.0,0,0,4,2,1.0,0.0,0.0,1.0,1.0,2,0,0,Unranked,Unranked
Chris Clements,177.8,77.11,177.8,12,6,0,49.0,2.37,44.0,3.2,0.0,32.0,0.0,0.3,2.0,0.0,184.0,110.0,212.0,0.0,2.0,Orthodox,The Menace,1976/02/09,['welterweight'],welterweight,"['KO/TKO', 'Decision - Split']","['KO/TKO', 'Overturned', 'Decision - Unanimous']","[1.0, 3.0]",15.0,0,0,5,2,1.0,0.0,1.0,1.0,2.0,1,0,1,Unranked,Unranked
Chris Cope,182.88,77.11,182.88,8,4,0,26.0,4.82,50.0,3.9599999999999995,0.0,80.0,0.0,0.0,0.0,0.0,105.0,86.0,320.0,0.0,1.0,Orthodox,C-Murder,1983/03/05,['welterweight'],welterweight,['Decision - Unanimous'],"['KO/TKO', 'KO/TKO']",[3.0],9.0,0,0,3,1,2.0,0.0,0.0,0.0,2.0,0,0,1,Unranked,Unranked
Chris Heatherly,175.26,70.31,,9,4,0,45.0,2.67,52.0,1.08,3.39,100.0,50.0,,0.0,0.0,122.0,12.0,25.0,2.0,4.0,Orthodox,Stump,1987/11/24,['welterweight'],welterweight,[],"['KO/TKO', 'Submission']",[],6.0,0,0,2,0,1.0,1.0,0.0,0.0,2.0,0,0,0,Unranked,Unranked
Chris Indich,177.8,77.11,,6,4,0,30.0,4.32,43.0,1.31,0.75,50.0,50.0,1.5,0.0,0.0,135.0,12.0,49.0,1.0,2.0,Unknown,,1987/04/22,['welterweight'],welterweight,[],"['KO/TKO', 'Decision - Unanimous']",[],6.0,0,0,2,0,1.0,0.0,1.0,0.0,2.0,0,0,0,Unranked,Unranked
Chris Lytle,180.34,77.11,172.72,31,18,5,45.0,3.03,58.0,3.7599999999999993,0.7,55.0,55.0,2.4,2.0,13.0,1715.0,531.0,1223.0,9.0,18.0,Orthodox,Lights Out,1974/08/18,"['welterweight', 'ultimate fighter 4 welterweight tournament']",welterweight,"['Submission', 'Submission', 'Decision - Unanimous', 'Decision - Unanimous', 'KO/TKO', 'Submission', 'Submission', 'Submission', 'Submission', 'Decision - Unanimous']","['Decision - Unanimous', 'Decision - Split', 'Decision - Unanimous', ""TKO - Doctor's Stoppage"", 'Decision - Unanimous', 'Decision - Split', ""TKO - Doctor's Stoppage"", 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous']","[2.0, 1.0, 3.0, 3.0, 1.0, 1.0, 2.0, 2.0, 3.0, 3.0]",59.0,1,0,20,10,2.0,0.0,8.0,0.0,10.0,1,6,3,Unranked,Unranked
Chris Spang,187.96,77.11,,6,3,0,,1.95,,1.83,0.0,50.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,The Kiss,1987/11/26,['welterweight'],welterweight,[],['Decision - Unanimous'],[],3.0,0,0,1,0,0.0,0.0,1.0,0.0,1.0,0,0,0,Unranked,Unranked
Chris Wilson,185.42,77.11,190.5,18,10,0,50.0,1.36,55.0,2.32,1.31,60.0,50.0,1.6,3.0,2.0,819.0,86.0,189.0,5.0,10.0,Orthodox,The Professor,1977/06/07,['welterweight'],welterweight,['Decision - Unanimous'],"['Submission', 'Decision - Split', 'Decision - Unanimous']",[3.0],12.0,0,0,4,1,0.0,1.0,2.0,0.0,3.0,0,0,1,Unranked,Unranked
Christian Aguilera,175.26,77.11,182.88,14,8,0,37.0,4.04,48.0,2.54,0.0,60.0,0.0,0.0,0.0,0.0,32.0,26.0,62.0,0.0,1.0,Switch,The Beast,1991/11/25,['welterweight'],welterweight,['KO/TKO'],"['Submission', 'Submission']",[1.0],9.0,0,0,3,1,0.0,2.0,0.0,0.0,2.0,1,0,0,Unranked,Unranked
Chuck O'Neil,187.96,77.11,,17,9,0,,4.4,,3.13,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,2.0,Unknown,Cold Steel,1985/09/22,['welterweight'],welterweight,[],['Decision - Unanimous'],[],3.0,0,0,1,0,0.0,0.0,1.0,0.0,1.0,0,0,0,Unranked,Unranked
