name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
Eryk Anders,Ya Boi,Southpaw,46,57.7,84.89,61.7,54.2,67.43,24.17,62.01,22.89,17,8,0,17,8,0,18,0,Unranked,Unranked,"['middleweight', 'light heavyweight', 'catch weight']",middleweight,1987/04/21,45.62,31.77,48.0,46.4,58.13,65.01,19.37,75.54,23.99,63.08,80.0,0.0,1.96,0.0,80.0,51.86
Rafael Natal,Sapo,Orthodox,47,57.47,79.79,65.85,66.44,64.8,25.5,38.76,21.55,21,9,1,21,9,1,17,0,Unranked,12.0,['middleweight'],middleweight,1982/12/25,39.95,25.47,47.0,33.13,66.28,78.58,28.89,77.77,34.0,54.27,77.01,47.0,9.82,13.86,100.0,39.87
Roman Dolidze,,Orthodox,48,57.13,79.24,44.14,61.44,75.08,33.24,62.01,20.94,15,3,0,15,3,0,12,0,Unranked,7.0,"['middleweight', 'light heavyweight']",middleweight,1988/07/15,46.13,47.28,42.0,26.52,56.98,69.24,12.58,20.0,39.98,39.79,33.0,20.15,17.67,0.0,100.0,77.78
Rodolfo Vieira,,Orthodox,49,57.08,73.82,48.0,80.47,70.89,15.91,93.02,21.78,10,3,0,10,3,0,8,0,Unranked,Unranked,['middleweight'],middleweight,1989/09/25,42.91,7.82,55.0,0.0,56.98,61.99,39.88,47.4,25.99,24.84,100.0,40.29,23.57,69.31,80.0,56.94
Jack Hermansson,The Joker,Orthodox,49,57.08,77.13,44.64,66.98,65.91,38.71,61.31,11.66,24,9,0,24,9,0,18,0,Unranked,4.0,['middleweight'],middleweight,1988/06/10,66.1,42.2,45.0,0.0,66.28,68.04,16.99,49.63,28.99,35.45,80.0,6.72,7.86,41.59,80.0,43.82
Murilo Bustamante,,Orthodox,51,57.07,63.41,35.33,69.87,80.93,32.86,100.0,15.98,15,8,1,15,8,1,4,2,Unranked,Unranked,"['middleweight', 'light heavyweight']",middleweight,1966/07/30,17.14,1.62,32.0,13.25,69.76,83.58,27.87,24.44,33.0,12.15,53.99,20.15,23.57,27.73,100.0,77.78
Gregory Rodrigues,Robocop,Orthodox,52,57.01,92.53,41.28,57.35,71.9,25.39,75.58,12.97,17,6,0,17,6,0,11,0,Unranked,Unranked,['middleweight'],middleweight,1992/02/17,71.39,54.97,51.01,46.4,58.13,56.46,25.04,28.14,38.01,21.57,90.01,0.0,5.89,0.0,100.0,61.61
Jacob Malkoun,Mamba,Orthodox,53,56.7,76.73,78.55,57.7,69.18,12.75,40.7,40.44,8,3,0,8,3,0,7,0,Unranked,Unranked,['middleweight'],middleweight,1995/08/26,49.73,23.8,56.01,0.0,60.46,78.58,75.01,54.07,41.99,40.34,20.0,0.0,7.86,0.0,100.0,63.49
Chris Leben,The Crippler,Southpaw,54,56.3,77.06,52.5,68.23,60.51,26.48,75.58,16.44,22,11,0,22,11,0,22,0,Unranked,Unranked,['middleweight'],middleweight,1980/07/21,36.99,21.21,42.0,33.13,60.46,75.2,12.91,27.41,40.99,53.1,53.0,67.14,15.71,27.73,59.99,38.39
Elias Theodorou,The Spartan,Orthodox,55,55.7,71.95,39.92,56.32,78.29,44.09,40.7,21.86,16,3,0,16,3,0,11,1,Unranked,13.0,"['middleweight', 'tuf nations canada vs. australia middleweight tournament']",middleweight,1988/05/31,53.99,19.12,42.0,0.0,61.64,79.34,14.39,34.08,27.99,34.28,59.01,0.0,0.0,0.0,100.0,75.76
