name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
Todd Butler,,Southpaw,419,13.61,45.73,0.0,0.0,29.9,0.0,0.0,0.0,1,4,0,1,4,0,1,0,Unranked,Unranked,['lightweight'],lightweight,,0.0,0.23,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,100.0,0.0
Paulo Santos,,Unknown,419,13.61,45.72,0.0,0.0,29.9,0.0,0.0,0.0,0,3,0,0,3,0,1,0,Unranked,Unranked,['lightweight'],lightweight,,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,100.0,0.0
Josh Stuart,,Unknown,419,13.61,45.72,0.0,0.0,29.9,0.0,0.0,0.0,1,4,0,1,4,0,1,0,Unranked,Unranked,['lightweight'],lightweight,,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,100.0,0.0
Donnie Chappell,,Southpaw,419,13.61,45.73,0.0,0.0,29.9,0.0,0.0,0.0,0,1,0,0,1,0,1,0,Unranked,Unranked,['lightweight'],lightweight,,0.0,0.11,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,82.77,0.0
Rainy Martinez,,Orthodox,419,13.61,45.72,0.0,0.0,29.9,0.0,0.0,0.0,0,2,0,0,2,0,1,0,Unranked,Unranked,['lightweight'],lightweight,,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,82.77,0.0
Saeed Hosseini,,Unknown,419,13.61,45.73,0.0,0.0,29.9,0.0,0.0,0.0,0,1,0,0,1,0,1,0,Unranked,Unranked,['lightweight'],lightweight,,0.0,0.28,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,100.0,0.0
Abdul-Kareem Al-Selwady,Pride of Palestine,Orthodox,429,13.41,0.0,26.06,59.07,0.0,0.0,0.0,28.67,15,4,0,15,4,0,1,0,Unranked,Unranked,['lightweight'],lightweight,1995/04/10,45.48,0.0,,0.0,,73.9,27.33,3.93,30.0,2.18,20.01,0.0,0.0,0.0,100.0,0.0
Ryan Couture,,Orthodox,430,13.38,0.0,22.96,64.02,0.0,0.04,0.0,22.38,11,5,0,11,5,0,2,0,Unranked,Unranked,['lightweight'],lightweight,1982/08/27,38.89,0.0,,0.0,,79.19,18.26,7.3,29.0,3.4,46.01,0.0,27.34,0.0,100.0,0.0
Cristiano Marcello,,Orthodox,431,12.69,0.0,10.26,62.98,0.0,2.81,23.26,11.45,13,6,0,13,6,0,4,0,Unranked,Unranked,['lightweight'],lightweight,1977/12/03,28.12,0.0,,0.0,,73.83,5.19,9.56,10.99,3.47,20.01,4.73,18.91,0.0,100.0,13.89
Brendan Loughnane,,Switch,432,12.33,0.0,21.13,59.07,0.0,0.0,0.0,19.93,17,3,0,17,3,0,1,0,Unranked,Unranked,['lightweight'],lightweight,1989/12/05,68.45,0.0,,7.7,,51.44,17.67,1.13,30.0,1.51,92.02,0.0,0.0,0.0,100.0,11.11
Yoshiki Takahashi,Kazuo,Southpaw,433,11.06,0.0,0.12,67.82,0.0,2.69,23.26,0.0,30,27,3,30,27,3,1,0,Unranked,Unranked,['lightweight'],lightweight,1969/03/13,24.83,0.0,,0.0,,53.1,0.0,0.56,0.0,0.0,66.01,0.0,48.37,0.0,100.0,100.0
Maciej Jewtuszko,Irokez,Southpaw,434,8.12,0.0,0.0,62.49,0.0,0.0,0.0,0.0,12,3,0,12,3,0,1,0,Unranked,Unranked,['lightweight'],lightweight,1981/01/31,25.17,0.0,,0.0,,89.94,0.0,0.0,0.0,0.0,42.0,0.0,18.91,0.0,100.0,11.11
Sako Chivitchian,,Orthodox,435,7.97,0.0,1.32,59.07,0.0,0.0,0.0,31.12,8,1,0,8,1,0,1,0,Unranked,Unranked,['lightweight'],lightweight,1984/03/11,26.37,0.0,,0.0,,65.2,0.0,0.56,0.0,2.36,100.0,0.0,0.0,0.0,100.0,11.11
Alex Gorgees,Hitman,Switch,436,7.68,0.0,0.0,59.07,0.0,0.0,0.0,0.0,6,1,0,6,1,0,1,0,Unranked,Unranked,['lightweight'],lightweight,1995/08/11,7.36,0.0,,0.0,,83.54,0.0,0.0,0.0,0.0,53.99,0.0,0.0,0.0,100.0,11.11
