name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
Wulijiburen,Beast Master,Orthodox,147,35.78,61.41,39.1,59.72,46.35,0.09,0.0,48.16,20,9,0,20,9,0,3,0,Unranked,Unranked,"['bantamweight', 'featherweight']",bantamweight,1989/03/01,16.95,3.83,56.45,0.0,57.15,79.48,48.59,13.42,41.99,12.22,77.01,8.17,,0.0,100.0,0.0
Pingyuan Liu,,Orthodox,148,35.63,60.38,13.09,62.26,59.76,6.37,23.26,24.27,13,7,0,13,7,0,4,0,Unranked,Unranked,['bantamweight'],bantamweight,1993/02/13,24.84,8.18,41.94,8.33,53.07,79.73,3.69,3.2,20.0,8.21,56.0,16.34,,0.0,100.0,36.11
John Albert,Prince,Orthodox,149,35.45,70.42,2.06,67.79,34.81,3.31,93.02,9.52,6,5,0,6,5,0,5,0,Unranked,Unranked,['bantamweight'],bantamweight,1986/10/13,32.1,6.24,67.75,8.33,14.29,81.14,0.0,1.92,0.0,4.03,50.0,40.84,,0.0,19.43,0.0
Kwan Ho Kwak,,Switch,150,35.38,65.0,42.95,57.76,37.26,0.05,0.0,2.42,9,2,0,9,2,0,2,0,Unranked,Unranked,['bantamweight'],bantamweight,1989/06/18,34.63,8.06,54.83,0.0,38.78,75.94,11.54,0.65,100.0,0.41,25.99,0.0,,0.0,100.0,0.0
Jeff Hougland,Hellbound,Orthodox,151,35.24,65.29,14.77,64.2,53.12,3.21,23.26,20.63,10,6,0,10,6,0,3,0,Unranked,Unranked,['bantamweight'],bantamweight,1978/08/02,19.57,4.84,66.13,0.0,38.78,75.86,12.73,9.58,17.99,5.24,0.0,32.66,,0.0,100.0,40.74
Quang Le,Bang,Orthodox,152,35.23,62.06,35.41,0.0,50.26,3.21,93.02,45.86,9,2,0,9,2,0,3,0,Unranked,Unranked,['bantamweight'],bantamweight,1991/10/18,28.43,14.98,48.39,0.0,38.78,67.04,46.65,12.78,35.0,11.63,100.0,0.0,,17.8,100.0,14.81
Henry Briones,Bure,Orthodox,153,35.19,67.62,0.46,63.13,41.48,3.31,93.02,1.98,16,8,1,16,8,1,5,0,Unranked,Unranked,['bantamweight'],bantamweight,1980/10/22,36.53,6.68,56.45,8.33,51.02,65.8,0.0,0.65,0.0,0.84,52.01,16.34,,17.8,79.86,0.0
Domingo Pilarte,Son of Fire,Southpaw,154,35.14,63.19,26.45,60.86,55.62,0.09,0.0,35.2,8,3,0,8,3,0,3,0,Unranked,Unranked,['bantamweight'],bantamweight,1990/01/05,13.78,0.69,64.52,0.0,24.49,79.97,17.78,3.2,41.99,8.94,53.99,8.17,,0.0,100.0,40.74
Pedro Falcao,Pedrinho,Orthodox,155,35.04,68.56,30.19,57.76,47.43,0.05,0.0,69.94,16,5,0,16,5,0,2,0,Unranked,Unranked,['bantamweight'],bantamweight,1992/07/30,33.78,7.37,66.13,0.0,44.91,76.44,40.44,16.62,25.0,11.84,66.0,0.0,,0.0,100.0,11.11
Anthony Birchak,El Toro,Orthodox,156,34.9,67.75,10.29,53.6,44.34,6.46,58.14,8.55,16,8,0,16,8,0,6,0,Unranked,Unranked,['bantamweight'],bantamweight,1986/05/16,41.37,13.54,46.78,16.67,57.15,74.12,7.1,4.48,14.0,4.34,61.01,0.0,,0.0,59.72,0.0
