name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
Shane del Rosario,,Southpaw,183,25.94,73.99,21.09,0.0,44.27,0.05,0.0,20.26,11,2,0,11,2,0,2,0,Unranked,Unranked,['heavyweight'],heavyweight,1983/09/23,32.8,5.54,69.77,0.0,77.14,74.83,13.44,4.07,40.01,3.68,15.99,0.0,,0.0,100.0,0.0
Chase Gormley,,Orthodox,184,25.66,68.51,28.64,0.0,38.96,0.05,0.0,9.06,14,6,0,14,6,0,2,0,Unranked,Unranked,['heavyweight'],heavyweight,,30.05,2.17,48.83,0.0,62.86,48.9,34.94,3.06,41.99,1.64,0.0,0.0,,0.0,77.87,0.0
Gilbert Aldana,El Peligro,Orthodox,185,25.54,70.5,27.68,0.0,37.51,0.05,0.0,28.82,6,2,0,6,2,0,2,0,Unranked,Unranked,['heavyweight'],heavyweight,1977/08/25,24.3,4.64,62.79,0.0,37.14,46.95,28.77,5.09,40.01,5.24,33.02,0.0,,0.0,100.0,0.0
Guto Inocente,,Orthodox,186,25.38,75.52,14.08,0.0,48.19,0.05,0.0,0.0,7,4,0,7,4,0,2,0,Unranked,Unranked,"['light heavyweight', 'heavyweight']",heavyweight,1986/05/29,34.47,0.82,76.76,0.0,77.14,75.25,7.5,0.0,33.01,0.0,66.01,0.0,,0.0,77.87,0.0
Kazushi Sakuraba,The Gracie Hunter,Southpaw,187,24.3,0.0,16.16,69.16,0.0,21.62,100.0,0.0,26,17,1,26,17,1,2,1,Unranked,Unranked,"['heavyweight', 'ultimate japan heavyweight tournament']",heavyweight,1969/07/14,10.52,0.0,,0.0,,82.78,14.1,2.05,30.99,0.0,48.02,15.34,,17.2,100.0,100.0
Tim Lajcik,The Bohemian,Orthodox,188,23.95,51.21,5.83,57.25,33.28,0.09,0.0,49.11,7,6,1,7,6,1,3,0,Unranked,Unranked,['heavyweight'],heavyweight,1965/06/21,0.0,3.36,0.0,0.0,0.0,100.0,0.0,1.01,0.0,11.89,0.0,0.0,,0.0,100.0,0.0
Mark Robinson,White Rhino,Orthodox,189,23.76,50.95,1.63,0.0,79.05,0.0,0.0,56.52,1,0,0,1,0,0,1,0,Unranked,Unranked,['heavyweight'],heavyweight,,0.0,0.09,0.0,0.0,18.58,50.84,0.0,0.0,0.0,3.43,0.0,0.0,,0.0,100.0,100.0
Sean Sharaf,The Smoke,Orthodox,190,23.52,76.42,14.42,0.0,36.6,0.0,0.0,9.37,4,1,0,4,1,0,1,0,Unranked,Unranked,['heavyweight'],heavyweight,1993/07/11,61.01,8.83,51.17,0.0,62.86,17.04,23.19,8.15,11.98,0.85,0.0,0.0,,0.0,100.0,0.0
Justin Wren,The Viking,Orthodox,191,22.72,67.18,0.31,0.0,58.69,0.0,0.0,3.26,13,2,0,13,2,0,1,0,Unranked,Unranked,['heavyweight'],heavyweight,1987/04/27,28.63,11.9,40.7,0.0,91.43,82.45,0.0,1.01,0.0,0.3,100.0,0.0,,0.0,100.0,11.11
Rolles Gracie,,Orthodox,192,22.61,63.66,15.52,0.0,42.99,0.0,0.0,20.77,8,4,0,8,4,0,1,0,Unranked,Unranked,['heavyweight'],heavyweight,1978/07/14,19.2,3.45,37.21,0.0,78.58,71.35,25.76,10.17,9.99,1.89,0.0,0.0,,0.0,100.0,0.0
